parameter_name,procedure_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,f_sd,m_sd,r_m,r_c,Category,parameter_group
cue baseline freeze count,Fear Conditioning,291,333,2.1921002711058235,0.43300898796753284,-0.27724426180906486,0.09358553112349371,2.755868676021534,0.4313170340650381,-0.17031811630807608,0.09621671183292457,-0.5637684049164179,0.12405396363261185,6.867100734988534e-6,-0.1069261455004404,0.12030392409639873,0.3745254405347517,0.6001634345359464,0.65541457,0.14121029728392798,0.7781576849057937,Behaviour,cue baseline freeze count
cue baseline freezing time,Fear Conditioning,291,333,2.4155380987720743,0.2585257431971896,-0.3717699822184734,0.10839499011611163,3.150465095434698,0.25453107999340463,-0.2692391995458828,0.11490705410867966,-0.7349269965999959,0.15909501692798036,4.867858155135571e-6,-0.10253078269543522,0.15513623949362973,0.5089668449756074,0.7603858576013702,0.858326629,0.16914687557246696,0.656848758112679,Behaviour,cue baseline freezing time
cue baseline maximum motion index,Fear Conditioning,168,238,7.234344255245079,0.07651192601012442,0.10421970005065745,0.0636010433614218,7.08042591065426,0.055163244656567946,0.042078327976929605,0.057997488281482934,0.15391834304277993,0.08909018161141619,0.0849831626526778,0.06214137051403469,0.08456826908031806,0.46297877990526104,0.35053622961161396,0.3935991,0.0877403716071808,0.47272050723373593,Behaviour,cue baseline maximum motion index
cue tone % freezing time,Fear Conditioning,168,238,3.1168025300391737,0.15148953705448964,-0.35428021541397675,0.12463911926011037,3.5998840813417314,0.09513145422901069,-0.09123982674559547,0.09414147795138202,-0.4830815499395278,0.1654431907957318,0.0037419844923100077,-0.2630403880261464,0.15307739386379438,0.08667091327155012,0.6892141501310157,0.5973727,0.14960547657296405,0.5705014450067206,Behaviour,cue tone % freezing time
dark side distance travelled,Light-Dark Test,111,84,8.11530135440201,0.0753531463996964,0.006437840121805736,0.08229422452034922,8.012425786311736,0.07449477966693871,0.09357161052169957,0.06308341763531299,0.10287556809025834,0.10248153903443774,0.3169980456130965,-0.08713377040020584,0.1018221652920312,0.39344316305467375,0.3355864,0.24434813298415511,0.09299209260446024,0.42305233773578127,Behaviour,distance travelled
dark side time spent,Light-Dark Test,1844,1791,6.614314090532017,0.20568406874908782,0.05412081656647844,0.03802997924035916,6.456078487651616,0.20616478649879152,0.05110786144487008,0.0382597456741284,0.1582356028816297,0.019987528970502027,3.306013142150644e-15,0.003012955074530717,0.01962231222743611,0.8779760343364958,0.34546697,0.4998885845561992,0.10143816665498777,0.6537126573277523,Behaviour,time spent
dark sleep bout lengths mean,Sleep Wake,864,842,5.29229762520624,0.013336294492883417,0.04736089851374032,0.01304851278234048,5.509292914076078,0.013967244186700804,0.0972971580336181,0.012839114267678286,-0.21699528886976557,0.018345431691780715,5.831279525986748e-31,-0.0499362595197342,0.01738607482629567,0.004132089400145047,0.2158973,0.24659964667519663,0.5793366650783492,0.6223103771238656,Behaviour,dark sleep bout lengths mean
dark sleep bout lengths standard deviation,Sleep Wake,864,842,5.644536414580082,0.01741385540966513,0.02210676685399277,0.016557907633569305,5.8472614068132405,0.01601805649337048,0.01411770521584199,0.01402706555650664,-0.20272499223418758,0.02166464428616939,2.786923179736141e-20,0.007989061636999032,0.02021186012774072,0.6927013124215988,0.27048497,0.25877100798363684,0.37870368687172823,0.4972530959074366,Behaviour,dark sleep bout lengths standard deviation
data confidence level,Sleep Wake,864,842,-0.016894567273887013,0.0030380374979904687,0.006075873624865041,0.0029288609507367156,-0.007977777902755447,0.0019265179176685579,0.0035107700620287566,0.0015343884166267709,-0.008916789371117888,0.0032502566720655616,0.0061509661878038045,0.0025651035628575024,0.003115149813415,0.41039177870938537,0.04992531,0.025888622702677343,0.1984623084999198,0.44145412640785725,Behaviour,data confidence level
distance travelled - total,Open Field,8942,8881,8.904351585896464,0.21836238349929618,0.008609592925278799,0.018443746034378806,8.81020051013567,0.21836187048552716,0.003016703107891754,0.018253292237771127,0.09415107595681882,0.005603983449347842,8.617590344087714e-63,0.00559288993339212,0.005066332886999304,0.26963946063888206,0.20551664599824357,0.19620265,0.05434976418784976,0.9672063629194109,Behaviour,distance travelled - total
fecal boli,Light-Dark Test,1504,1489,0.5787835096963804,0.026922022838671088,-0.0778627846288314,0.027403333700544454,1.0972487062356726,0.029413035263435767,-0.01941654008461701,0.02716241616727894,-0.5184651965392634,0.038284000898144994,1.7094629566310612e-40,-0.058446244544220545,0.03639966226655781,0.10845926207875947,0.6531191,0.7751149995505283,0.298685656025658,0.3596169680855117,Behaviour,fecal boli
forelimb and hindlimb grip strength measurement mean,Grip Strength,12362,12416,5.293352908591636,0.04596146354394901,0.054532996580440224,0.004910684443563578,5.282680420074684,0.04594928006741295,0.05561438037417269,0.0048535269292220755,0.01067248815882253,0.003175237536859851,7.774938350218825e-4,-0.0010813837999600188,0.002910828236299194,0.7102659472431081,0.127516794,0.13131321288831432,0.20225023529301306,0.8611055058736435,Behaviour,limb strength
forelimb and hindlimb grip strength normalised against body weight,Grip Strength,12355,12405,2.1845185985551456,0.046153485763610044,-0.08822208071005319,0.00454164258635034,2.166252814760469,0.04614238502484317,-0.0904438681584221,0.004445659588407902,0.01826578159626352,0.0031645475980031233,7.940424691088985e-9,0.0022217875045830223,0.0028977351319723023,0.44324897945941877,0.12698446,0.1310596032975813,0.36004773581116833,0.8752096024739335,Behaviour,limb strength
forelimb grip strength measurement mean,Grip Strength,12367,12430,4.598057326526202,0.05483129670200597,0.05634616199176367,0.006316695696583482,4.602012369342053,0.05480799694589428,0.05236966223821116,0.006249023046775852,-0.003955042913392146,0.003982245226422013,0.3206386377282909,0.003976499732057404,0.003656829485994355,0.2768645075975416,0.16344254,0.16232533751728725,0.1814901145591585,0.847428368695044,Behaviour,limb strength
forelimb grip strength normalised against body weight,Grip Strength,12360,12419,1.4908014646878012,0.055570005671175995,-0.08637688283297446,0.006120767340542383,1.4867868893694918,0.05554694068912515,-0.09378896934345156,0.006040194502281509,0.004014575196118208,0.0039776774220984575,0.31285345858142083,0.007412086489985394,0.003650109695184864,0.042302944350262765,0.16314896,0.1621222497088157,0.2898711589471718,0.8578858891647971,Behaviour,limb strength
horizontal activity,Light-Dark Test,111,84,7.39334567127316,0.07214295205456457,-0.0525761591104548,0.07554229709581961,7.23514109782682,0.08717288313838234,0.15755855926932544,0.07319728810423284,0.1582045734155702,0.10709743390174045,0.14162455656629439,-0.21013471834130643,0.10290294381255764,0.042818271941098496,0.2969726,0.28432551025447617,0.16553128569532286,0.5358302351042012,Behaviour,horizontal activity
latency to center entry,Open Field,6566,6537,2.0931259389624652,0.2290946591247806,0.10831438403337726,0.06105652600953187,2.0426465570231365,0.2282904394830581,0.044220716644367,0.058892985117829054,0.050479381939750795,0.062067241278131006,0.41606190158863143,0.06409366738930801,0.057809414076527725,0.2675798536518165,1.89856483,1.8992625815876516,0.029062173671547717,0.4640912227435386,Behaviour,latency to center entry
latency to fall mean,Rotarod,1869,1970,4.801071812393475,0.021802551412757158,-0.1095311985076866,0.014988776234244945,4.840682568783936,0.021015342693721458,-0.07182152617874131,0.012996218475597145,-0.03961075639065042,0.02000226488190875,0.047746381580846785,-0.03770967232967096,0.018076132261765004,0.03703642021473169,0.35501008636423487,0.3505268,0.16509626776104705,0.6629920985059384,Behaviour,latency to fall mean
latency to first transition into dark,Light-Dark Test,1844,1791,2.0119634883516144,0.9883524819142973,0.012945746472400169,0.08381039829265076,2.44562627233859,0.9890541497548349,-0.03770392437513021,0.07558150167798684,-0.43366278398678776,0.07769388108974397,2.5752117415785507e-8,0.050649670857556915,0.0684271178651775,0.45923222188908286,1.43438521,1.4171543204032075,0.09009264891985565,0.7892896436886354,Behaviour,latency to first transition into dark
latency to immobility,Tail Suspension,586,585,3.094652961092811,0.5394271385915561,0.00992673126216508,0.026319379033965477,3.1363487904228187,0.5391709593546651,-0.06183236657114029,0.025061073487976693,-0.04169582933171705,0.030878023105272347,0.1771911598086492,0.07175909783141167,0.02753928390062622,0.009295394873612427,0.33372963,0.32205178801039197,0.039445545123187244,0.9219263846991523,Behaviour,latency to immobility
learning difference,Rotarod,620,612,4.73606460073036,0.037078440212854225,-0.04166087358662407,0.03751435577399172,4.751566750914931,0.035669520968920905,0.0048194750741118305,0.03533716092588728,-0.015502150185004126,0.03249752366605501,0.6334354140537829,-0.04648034866070196,0.03261300731625391,0.15437078279379107,0.39207399956444056,0.371079855,0.05176881251940136,0.15225836691073183,Behaviour,learning difference
learning slope,Rotarod,620,611,3.584974055770578,0.036495995466501244,-0.029648034334763148,0.03681886618442104,3.606106686997195,0.03301516874454342,-0.007249177436239952,0.032564574800816995,-0.021132631227958262,0.032675576302556714,0.5179300721959497,-0.022398856899492735,0.03258823577473508,0.49201514032630744,0.4110924345770721,0.33908138,0.03623551526319418,0.17041536623463155,Behaviour,learning slope
light side distance travelled,Light-Dark Test,111,84,6.21601714632012,0.22288311556625393,-0.3434353222744941,0.23773212209021466,5.855640165034577,0.2885069044492163,0.4879535895635657,0.24614575769930544,0.36037698343158403,0.35070057258329396,0.3057225127598693,-0.8313889114573887,0.33572929534903706,0.014333543821638373,0.9393093,0.9889884697654775,0.1851685061782305,0.49485118911484915,Behaviour,distance travelled
light side time spent,Light-Dark Test,1844,1791,4.995979809536298,0.48669642818954567,-0.11174227324540097,0.08731238158367255,5.289680888931252,0.4868624431653966,-0.12090440732751875,0.08613971743380884,-0.2937010794071215,0.03075127658145676,2.4267724108906673e-21,0.00916213411097052,0.02802792262585068,0.7437695586285464,0.5951422,0.5804451650476163,0.10167561429717223,0.8330695869185634,Behaviour,time spent
light sleep bout lengths mean,Sleep Wake,864,842,6.286340535756538,0.010910686325238091,0.007588562157209484,0.01049692510758336,6.4285493119002926,0.010885544879797739,-0.014229658549533616,0.009794663449119249,-0.142208776143889,0.01437283432580159,2.022524438874552e-22,0.02181822070654676,0.013484631883035463,0.10586599868389726,0.17169643,0.18482969036216787,0.3447556913800254,0.4550385050138588,Behaviour,light sleep bout lengths mean
light sleep bout lengths standard deviation,Sleep Wake,864,842,6.674385793506635,0.01791869451877522,-0.02458286802929567,0.01648602954542267,6.791574712604044,0.01571571810396916,-0.06950186167582244,0.013018514281245015,-0.11718891909729762,0.020949774194075923,2.6246006392440576e-8,0.044918993646765985,0.01929445448282949,0.020036910733820593,0.2668549,0.2323942062470734,0.15416891142312752,0.4349426415670649,Behaviour,light sleep bout lengths standard deviation
locomotor activity,Combined SHIRPA and Dysmorphology,9460,9489,3.04300388387471,0.06327534037439964,0.015457546296315879,0.020023688906693843,2.903230338220189,0.06329054072985613,6.849292762942407e-4,0.019870938740560305,0.13977354569817885,0.010152052056510314,6.8948496156824276e-43,0.01477261705710387,0.009260666526780717,0.11068683949992426,0.34371645,0.38730835986575163,0.13388766843251831,0.6564307743429125,Behaviour,locomotor activity
ma threshold inducing clonic seizure,Electroconvulsive Threshold Testing,788,750,1.8071320291882713,0.012703362882709443,0.012930785180128815,0.0066150668205291,1.9332267701200565,0.012775819253728884,0.030633086612438482,0.0063916127312906405,-0.12609474093180237,0.008752681360886624,1.535442683843335e-43,-0.017702301432307402,0.008082672678128204,0.028703688120524432,0.094973536,0.09575937602656079,0.42344368702641966,0.8663596419793399,Behaviour,ma threshold inducing clonic seizure
peak wake with respect to dark onset median,Sleep Wake,864,842,1.367960195002676,0.02776142346369756,0.06419069914028018,0.02585868076746898,1.020932908004366,0.03245322702727246,-0.0030926741301010694,0.029127721958649398,0.3470272869980798,0.039292231709297125,2.7411387102202867e-18,0.06728337327007425,0.03637293662607404,0.06453101482493274,0.4081548,0.5555200953848357,0.2851147676750907,0.43289344201798863,Behaviour,peak wake with respect to dark onset median
percent time in dark,Light-Dark Test,1844,1791,4.395644229023498,0.019631825837162477,0.047526712066415545,0.03676721543349852,4.27703206729817,0.022639876206889127,0.039452467038812326,0.03715508951344033,0.11861216171890657,0.0184894974680025,1.6087767986539685e-10,0.00807424504868415,0.018342181570627645,0.6598205346237096,0.3209701803,0.4710839228308538,0.10558868746266065,0.2305118104911568,Behaviour,percent time
percent time in light,Light-Dark Test,1844,1791,2.5003618771751097,0.2854130806141673,-0.14011930147724727,0.11569390585149535,2.83273828567431,0.28582394379479364,-0.1275829747944443,0.11248372067154912,-0.332376408504028,0.043783679727388405,4.0992386437859066e-14,-0.012536326675200517,0.04043670865345778,0.7565627948956555,0.8840319,0.7885454341380288,0.12057226274949313,0.5772760956115408,Behaviour,percent time
percentage center time,Open Field,9048,8998,2.5998397179533295,0.1572871583246178,-0.04720884639627688,0.027012900162076015,2.6585972098987454,0.1572805188087047,-0.03306375811062886,0.025662038247841246,-0.058757492342385,0.01699366767211731,5.464165741996155e-4,-0.01414508827240429,0.01532360048817406,0.35597346302255006,0.6468697,0.5842991497186892,0.031733976346681535,0.7235700873978989,Behaviour,percentage center time
periphery average speed,Open Field,8693,8662,2.0081555173650774,0.2303779122866331,0.016931284626617967,0.01315529446351701,1.9081514021535495,0.23037501468075605,0.010405714805400023,0.012937802804540459,0.10000411465936367,0.005213816823363604,4.822647982552509e-81,0.006525568921170578,0.004736186006041568,0.16828186692116626,0.19300631,0.1828226410289651,0.0505319457199148,0.973587970294001,Behaviour,periphery average speed
periphery distance travelled,Open Field,9026,8992,8.58910236011587,0.20856877135967303,0.027679778804911744,0.021612308723504763,8.477099540981172,0.20857154110853474,0.02266589919351911,0.02147752102021824,0.11200281920692944,0.005807669807255884,6.285895879679738e-82,0.005013879676178376,0.005289866099482218,0.3432319238840421,0.21437483,0.21326470916378415,0.05471779640238876,0.9608289019462494,Behaviour,periphery distance travelled
periphery permanence time,Open Field,9382,9328,6.871813419745522,0.029972737291546325,0.008757044991623785,0.006653820348531341,6.869290486272165,0.02997755995800261,0.011380166221255017,0.006549480044855463,0.002522933103285123,0.0030704299243773576,0.4112669139996764,-0.002623121191821399,0.0027619266776036508,0.3422567846370741,0.109406414,0.11557371765375611,0.052874273703018934,0.762021107992664,Behaviour,periphery time
