parameter_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,group_sd,g_slope_sd,batch_sd,f_sd,m_sd,Category,parameter_group
context freezing time,291,333,-0.186721578038934,0.682169578493368,-1.1444208892033,0.751402974894328,-0.214068349700326,0.681966953769643,-0.617499538628931,0.721497542709934,0.027346771614944,0.0647393085133448,0.672899369054297,-0.526921352778381,0.843073133804225,0.532247373498971,0.9617568,0.599024,0.2616252,0.696217,0.692664837937486,Behaviour,context freezing time
cue baseline freeze count,281,319,-0.00941411386396315,0.490101858471243,-2.02715467044615,0.917691134037221,0.206057929266654,0.489890397602373,-1.40518764217713,0.921558121426921,-0.21547204313189,0.0807208861694283,0.00785108615465196,-0.621967028297007,1.01868831723345,0.541774992631416,0.6857282,0.7891867,0.4329785,0.763536351542332,0.8242778,Behaviour,cue baseline freeze count
cue baseline freezing time,281,319,-0.105744296432133,0.185214700897115,-2.24935409938004,0.770342868635583,0.112303064960063,0.185103440935168,-2.04815074986616,0.812918775307758,-0.218047361420837,0.0878434287595539,0.0133889517505593,-0.201203349478781,1.1016121608466,0.855152237528469,0.23754617,0.06808334,0.49291724,0.7963838,0.913405224942335,Behaviour,cue baseline freezing time
dark side time spent,1841,1785,-0.274509473326896,0.643072295518434,0.632513854348545,0.702694344279685,-0.647152203282343,0.643390661983085,0.987001595441565,0.714721855069942,0.372642729189859,0.0305247482043673,1.49256115712537e-33,-0.354487726075339,0.27084321958415,0.190683668190381,1.11260939,1.16661245,0.00291986,0.716347650441941,1.07887843,Behaviour,time spent
distance travelled - total,9078,9053,0.238130903749208,0.247990446843081,-0.0201757438740603,0.167236131232085,0.10035726106673,0.24799018988183,0.0156282734527422,0.166497547113122,0.137773642676088,0.00449134536090782,8.32241852432309e-201,-0.0358040174788415,0.0418306334291476,0.392050424723285,0.927535,0.5850257,0.1139913,0.279606842981782,0.2662997,Behaviour,distance travelled - total
forelimb and hindlimb grip strength measurement mean,12441,12481,0.307329053075723,0.179061604160972,1.66648996289947,0.17961689555885,0.566714058107114,0.179066910795459,1.57598970325338,0.177778648950637,-0.259385005088962,0.0074678498925601,2.28965884121877e-257,0.0905002602214052,0.071830137549162,0.207711475326545,0.643216,0.5708159,0.4932265,0.516357130947991,0.5300498,Behaviour,limb strength
forelimb and hindlimb grip strength normalised against body weight,12434,12470,0.621668785691531,0.155170329425139,-1.78208313030741,0.140407053436675,0.134762452060753,0.1551750482935,-1.90176652673094,0.138659152361799,0.486906333575506,0.0065262745870598,0,0.119683396440313,0.0627769960129126,0.0566003988258181,0.5573817,0.4323409,0.4297284,0.4508747,0.463826191520479,Behaviour,limb strength
forelimb grip strength measurement mean,12446,12495,0.237440148938557,0.19079375945398,1.43938397807166,0.184695358730207,0.500962847049301,0.190794464491512,1.22824198106726,0.182305892025856,-0.263522698014492,0.00780813753886506,1.79169899897609e-243,0.211141997219655,0.0752290499301022,0.00501029517335616,0.6854064,0.5849926,0.5242848,0.550115511045794,0.5441657,Behaviour,limb strength
forelimb grip strength normalised against body weight,12439,12484,0.531148625382733,0.179818784778935,-1.52820560589523,0.150610671098758,0.142360554101053,0.179819446458144,-1.76033558477224,0.148173113469573,0.388788071286157,0.00718564571263729,0,0.232129978333822,0.0692400078173709,0.000802088211897456,0.6461024,0.4601113,0.4823225,0.5059122,0.501339637902644,Behaviour,limb strength
hot plate latency,72,72,-0.106705323295392,0.239184359895826,-2.28628503271729,2.59404917241156,0.196515880033044,0.227971877647914,-0.456134036427178,2.22344429106506,-0.303221203324734,0.162273475268838,0.0640600084879076,-1.83015099622275,2.43176741582942,0.453127554159228,0.2869242,2.3891007,0.0255942,1.0696871106604,0.8616778,Behaviour,hot plate latency
latency to center entry,6216,6263,-0.132486998727757,0.137764807189327,0.0928676355239484,0.247557140884476,-0.102015569516251,0.137783379429743,-0.0403413095762608,0.24544332437435,-0.0304714292440441,0.0174443582769495,0.0807037423724259,0.133208945650973,0.185263468384831,0.47214121995972,0.4296447,0.5604732,0.3543944,0.8533057,0.880289673220723,Behaviour,latency to center entry
latency to fall mean,1091,1125,0.213598109912241,0.0412858840194995,-0.839866762637242,0.370209713090613,-0.200798168339101,0.0434043543077752,-0.62231195112859,0.37478973148488,0.41439627807716,0.0390914307820787,1.32347698165506e-25,-0.217554812362317,0.489113592007893,0.656515101787547,0.01965182,0.10838561,0.33900498,0.84595436,0.976847076954161,Behaviour,latency to fall mean
latency to first transition into dark,1826,1782,-0.835715809222516,0.509896673816851,0.0497612706553603,0.326083713943252,-0.651206952917391,0.509934345841201,-0.0901091591468457,0.307633576793101,-0.184508856304523,0.0280809385545396,5.81122770246375e-11,0.139870429798966,0.26106172176039,0.592150373803264,0.8799855,0.3646284,0.3266754,0.835186102646199,0.8386187,Behaviour,latency to first transition into dark
latency to immobility,586,585,0.681061006950907,0.957236795207818,-0.196187816237083,0.493136549946158,0.676173264609133,0.957222607401451,-1.22494518482864,0.480608581852698,0.00488774243206368,0.0360332975302013,0.892127197296597,1.02875736937731,0.35836685169513,0.00417618565418173,1.351534,0.5515262,0.3055691,0.6245023,0.60636493773368,Behaviour,latency to immobility
learning difference,609,585,-0.292128866534979,0.386583464997009,-0.622376584556017,0.432371426323836,-0.371555574824226,0.387359075255168,-0.168933763188541,0.440037190348364,0.0794267082933467,0.0569371136578792,0.163302752282454,-0.453442821345547,0.610394754258786,0.457721431766924,0.538632348,0.004892723,0.088820663,0.926711950031115,1.032929441,Behaviour,learning difference
learning slope,616,593,-0.376992790547757,0.464907357486439,-0.501562170546911,0.613802805717129,-0.431629858456036,0.465180600751633,0.18690099936328,0.578638319408757,0.0546370683841411,0.0557288671557511,0.32709880279195,-0.688463179244749,0.605558598636903,0.255823858440546,0.6500151,0.5327391,0.1379232,0.969255696855509,0.9640975,Behaviour,learning slope
light side time spent,1844,1791,-0.910493298978919,0.71669922839523,-0.00874866669574435,0.216585233982007,-0.561416437985477,0.716714368587833,-0.291662133916365,0.185299716529659,-0.34907686104731,0.0265579488745505,1.69430025914707e-38,0.282913468017562,0.247573115677959,0.253226796264623,1.2396858,0.0503893,0.2752959,0.806907081624407,0.783473,Behaviour,time spent
locomotor activity,9480,9524,0.213463513016572,0.127590225053009,0.417283746834297,0.183404045879323,-0.0520893526950634,0.127646720986035,-0.1349819461572,0.1842297961171,0.265552865679126,0.0132432747407049,2.21371890755837e-88,0.552265692968355,0.121049759168657,5.09616762182828e-06,0.4304409,0.4662836,0.4604518,0.723695394519999,0.8548614,Behaviour,locomotor activity
ma threshold inducing clonic seizure,788,750,-0.489864362204353,0.074172138002193,0.626456043859607,0.335573685877871,0.480469359406132,0.0740006579467007,1.44003512068111,0.325760758771445,-0.970333721610536,0.0324775962255421,2.59829764903612e-147,-0.81357907682119,0.370030714414048,0.0280897562084354,0.06753978,0.23014407,0.87706403,0.581307576388959,0.58712416,Behaviour,ma threshold inducing clonic seizure
percent time in dark,1841,1785,0.180393839717667,0.0283748272552809,0.516031131694822,0.851852461322178,-0.177259763104937,0.0355946166500213,0.821091963336399,0.868152390177848,0.357653602965158,0.0328158232202405,3.39805040481681e-27,-0.305060834010303,0.29064067166692,0.29397247004163,0.036776295,1.400012598,0.001440005,0.753299301248403,1.170826459,Behaviour,percent time
percent time in light,1835,1784,-0.479584895967707,0.367696851484571,-0.0932782732111681,0.248896104216183,-0.0958696019828083,0.36763745135291,-0.0749437624300088,0.19775334661649,-0.383715293997464,0.0306668271763616,4.01539916017354e-35,-0.0183345108333078,0.287786428580889,0.949206036742635,0.63288749,0.01958125,0.27098242,0.96727778,0.86565831260941,Behaviour,percent time
percentage center time,9160,9152,-0.116620661209249,0.187584952991776,-0.194583520700405,0.158653896092931,-0.0798704878925401,0.187547459445721,-0.223544569015396,0.149069580367466,-0.0367501733055427,0.0126389262439789,0.00364598111182274,0.0289610497810666,0.115463074422093,0.801952454641095,0.6972349,0.3901959,0.4384891,0.799098,0.706653081098764,Behaviour,percentage center time
percentage of live gated events in panel a,762,754,-0.134673696910446,0.449069453382661,-0.433831875465253,0.108399929868981,-0.0274517777700369,0.449070735490489,-0.00672643126850319,0.099968064268449,-0.107221919132167,0.0100802366875256,2.59557058598068e-25,-0.427105444190441,0.101510842524887,2.77492806345874e-05,1.0970527,0.1327935,0.4338174,0.184765332952059,0.1819755,Behaviour,percentage of live gated events
percentage of live gated events in panel b,762,759,-0.0786483925682096,0.477816954267391,-0.406974338243311,0.102484816974825,0.0187293787814675,0.477823442639096,-0.0285212559856931,0.0939861216417015,-0.0973777713508747,0.0112564254031596,1.61208123959579e-17,-0.378453082262765,0.112549061244441,0.000796534324121273,1.167601066,0.004652816,0.435924647,0.201883290079331,0.208815078,Behaviour,percentage of live gated events
periphery average speed,8817,8824,0.341168120014299,0.236174416331489,-0.0188645610691811,0.101059500001477,0.220956960329162,0.236173709083179,0.012985781078683,0.100286553436377,0.120211159671552,0.00364966611828176,5.05977727810348e-230,-0.0318503425503371,0.0336806352703338,0.344338101985798,0.88345288,0.33759229,0.08408531,0.22691559,0.21506385451034,Behaviour,periphery average speed
periphery distance travelled,9162,9163,0.266391948297583,0.228889771544063,0.0899421267713741,0.169239236776879,0.126417471155873,0.228890858221525,0.132101402348023,0.168784597321408,0.139974477141833,0.00460494295733275,2.29825316436482e-197,-0.0421592755751004,0.0426939105663006,0.323423504029254,0.8560125,0.5910374,0.1175088,0.2825419,0.28304425797817,Behaviour,periphery distance travelled
periphery permanence time,9518,9499,0.0212521746422014,0.16841439498856,-0.110741904413648,0.198045121472839,0.04249433298787,0.168437918918498,0.306717713978379,0.195559866826519,-0.0212421583456683,0.0122752339575478,0.0835614475373775,-0.417459618392028,0.111995096060841,0.00019404276690855,0.6246725,0.5559105,0.4721501,0.727462,0.752692038624772,Behaviour,periphery time
periphery resting time,6508,6533,-0.0503105604505855,0.330286171009926,-0.27332454269689,0.183940358954107,-0.072693086672706,0.330287584289609,-0.055189611295445,0.183727562513496,0.022382526226207,0.00732489621168072,0.00225063447510957,-0.218134931305238,0.0769209815019817,0.00457858880758024,1.0439032,0.5248613,0.1788698,0.352555863600461,0.3686493,Behaviour,periphery time
shock intensity flinch,72,72,-0.0238579331160654,0.175050687328353,-3.48500330783276,2.07267434058338,-0.0613834588981196,0.1553439103633,-1.46866824073164,1.48145224681377,0.0375255257689373,0.16130269743426,0.816427309787522,-2.01633506720507,2.49110194611716,0.419839554813872,0.1546143,0.5540887,0.1823628,1.0803664,0.835308583948888,Behaviour,shock intensity flinch
shock intensity jump,72,72,0.369319454719133,0.131573611061842,-1.14797061741881,2.08746094628316,-0.415916958654518,0.141758442016022,0.0929658778622549,2.08795093467855,0.785236413371593,0.145593623845378,3.40376013987028e-07,-1.24093649535697,2.28300660148255,0.587732490335274,0.0510725,1.8435183,0.3284512,0.799148,0.931011190831456,Behaviour,shock intensity jump
shock intensity vocalization,72,72,-0.0165166606246516,0.201298675266411,1.64913134797397,2.64015988173055,0.29773665819797,0.207584106721111,2.58417310873903,2.65118258480788,-0.314253318828276,0.130107121309141,0.0171914478798317,-0.935041760729,2.10676569029299,0.657946681178308,0.07462323,3.05421852,0.72911841,0.6897003,0.84079600410644,Behaviour,shock intensity vocalization
side changes,1841,1785,-0.617962406268601,0.787712567909003,1.23716003068305,0.344209041815319,-0.703414374163497,0.78768514461213,-0.0156445465955776,0.317134259884488,0.0854519679099943,0.0270044829016313,0.0015684594164396,1.25280457707808,0.253485517689261,8.10719886729939e-07,1.3628384,0.4142405,0.2491574,0.8569135,0.757567109401586,Behaviour,side changes
time immobile,586,585,-0.164976397143874,0.142208841202077,-0.312974715431463,0.78691032901578,-0.0855467659987606,0.143670425157515,-0.621453913603165,0.798208603748348,-0.0794296306279439,0.0484640724459697,0.101518687664193,0.308479197360293,0.481975224745214,0.522288676211715,0.1729049,0.9513627,0.567722,0.7686092,0.880695287548687,Behaviour,time mobile
time mobile dark side,1841,1785,0.215529042039803,0.530479172454714,0.939104770622768,0.592210406015041,-0.317295172416448,0.530739859249661,0.337185869991969,0.599787790908541,0.532824214574714,0.0280739696157429,2.69909698880446e-76,0.601918899479618,0.254428363470757,0.0180504897499233,0.9167515,0.9582646,0.288486,0.691500131359503,0.9620351,Behaviour,time mobile
time mobile light side,1844,1789,-0.543241692309084,0.355759948457991,0.751379554758123,0.261683590849573,-0.387318557930831,0.35569071386156,-0.281763023077513,0.213541334488939,-0.15592313430949,0.0300934106915846,2.33623754123013e-07,1.03314257695206,0.282765700030547,0.000262521052839951,0.61132114,0.08856505,0.35382952,0.953161015473982,0.84451138,Behaviour,time mobile
total number of acquired events in panel a,784,776,-0.0404169966204808,0.237412566848179,0.151393906718994,0.201087826149863,-0.0593903958760796,0.237978280618639,-0.0968917348283504,0.22558672468075,0.018973399252939,0.0260019641193053,0.465717566920596,0.248285641531643,0.251534760327353,0.323795535961853,0.56515655,0.01374039,0.76287813,0.356728391321443,0.58236657,Behaviour,number events
total number of acquired events in panel b,787,783,0.060946773810764,0.233693342373948,0.226270825303389,0.156530627678157,-0.00768948558309491,0.234847965628476,-0.0211761689310917,0.249944606127965,0.06863625939607,0.0282723566818122,0.0153370675334959,0.247446994287362,0.260932459237153,0.343151976231425,0.55665322,0.03454909,0.75683236,0.246581776892194,0.70734048,Behaviour,number events
whole arena average speed,9520,9500,0.396940182613027,0.223663685699354,0.310265656455676,0.240881758677411,0.265664487902396,0.223666090317842,0.151890271617667,0.240402280432538,0.131275694356517,0.00533571984408985,2.54865538824379e-131,0.158375383570117,0.0479216530543197,0.000952171022706943,0.8352773,0.8554819,0.3362959,0.3090303,0.311695144940727,Behaviour,whole arena average speed
whole arena permanence,9175,9161,-0.00418608170107459,0.0491891793372271,-0.055059460624384,0.138073402940814,0.0012592799086645,0.0494217728880724,-0.116895183335356,0.138087374329612,-0.0054453615643658,0.0138315602949473,0.693814358122031,0.0618357227261383,0.123885384130132,0.617690010929786,0.1610327,0.3042869,0.6516743,0.7431078,0.871448903206491,Behaviour,whole arena
whole arena resting time,9515,9495,-0.210848931787402,0.228885457272653,-0.0910137854027708,0.118540871719574,-0.230011985660324,0.22888078168525,-0.231909173427396,0.116453069767437,0.0191630538848669,0.0052811081699977,0.000285809592179542,0.140895387847272,0.0476915872566194,0.00313814657107679,0.8545765,0.3755582,0.375834,0.3266983,0.285306198154412,Behaviour,whole arena
cone b-wave amplitude-left,93,95,-0.884382296903867,1.01311287149679,0.933786000205846,1.66222387741157,-0.895432209515672,1.01056768482057,0.738600720028659,1.28585753185228,0.0110499127192058,0.136246993696397,0.935484559216463,0.195185279248184,1.48048745038317,0.895314287890154,1.40800322,1.370900223,0.004964014,1.05766750046311,0.787780891,Eye,cone b-wave amplitude
cone b-wave amplitude-right,93,95,-1.08040991075597,1.31673272611126,2.31495758910373,2.98501580776711,-1.26094522674305,1.31834034652746,0.969213548838497,2.97688181997912,0.180535316067552,0.122381049711271,0.142560846919373,1.34574403946152,1.26521005125283,0.289442810811121,1.8429315,3.9230134,0.2126334,0.72179557102468,0.9414328,Eye,cone b-wave amplitude
cone b-wave implicit time-left,93,95,1.16277705642494,1.1433954726985,-0.966879927496853,2.35449538003099,0.844037437247294,1.1417025493521,-3.48036871250095,2.14318825912268,0.318739619182268,0.121343002200729,0.00964768750796027,2.51348878505298,1.35387419471291,0.0656264789617268,1.5863281,2.7120879,0.4054642,0.9370484,0.700920822084941,Eye,cone b-wave implicit time
cone b-wave implicit time-right,93,95,1.64823045449777,1.53051869606539,-5.73125167089405,6.98476511412257,1.17089147559899,1.53017786961043,-7.25305263312138,6.92409188914305,0.477338979625277,0.118354439583175,9.29411743927734e-05,1.52180094940607,1.31292134259658,0.248525803284886,2.12695,9.5422685,0.4070131,0.89012734373528,0.7137213,Eye,cone b-wave implicit time
eye size-left,93,95,1.01406512250369,1.39522154841383,5.44302048386412,5.45885218192282,1.34306347727241,1.39483870103297,5.62039970812238,5.43572292680733,-0.32899834803271,0.0678269984673776,3.43485566818608e-06,-0.177379231364361,0.754121687951697,0.814410697794227,1.9690418,7.6551966,0.2713202,0.504683474277964,0.4154966,Eye,eye size
eye size-right,93,95,0.845310079130605,1.23004733691831,7.34790369041955,8.03180092338014,1.14058537954122,1.22926444509529,7.73718620990189,8.01034106141855,-0.295275300392703,0.0677527260538744,2.62775328354016e-05,-0.389282519452887,0.766264486046115,0.612289256515947,1.7355288,11.3061131,0.2733222,0.5435206,0.360914920689318,Eye,eye size
interpupillary distance,202,201,-0.0969691693846218,0.298045885491116,1.06788862908895,1.0334240657518,0.537579949008175,0.296897763057301,1.77535818139936,0.879118688866323,-0.634549118271525,0.0843037289006482,7.71318937522705e-13,-0.707469552238827,1.01832415650846,0.487814054432336,0.4871801,1.0388793,0.2855553,0.864155149030249,0.7935688,Eye,interpupillary distance
left anterior chamber depth,118,120,0.158458285337904,0.345802564876838,3.25216933180273,0.964106670242232,0.52268601158676,0.342140754793872,1.06827481822555,0.582865299087361,-0.364227726246149,0.0821855968952249,2.10528253060546e-05,2.18389451358241,1.02923384266897,0.0359407293026745,0.75824594,0.03389513,0.42824125,0.60733762,0.463146569191824,Eye,left anterior chamber depth
left corneal thickness,118,120,-0.183412491983202,0.308354201905505,-0.75388777321089,1.30650746062581,-0.298595050769203,0.303075908441865,-0.587758109451323,0.963752258176923,0.115182558844126,0.0956639644049614,0.230986546467286,-0.166129663523039,1.19081516186571,0.889285625546992,0.6454086,1.4473832,0.3697014,0.7459034,0.570846109022087,Eye,corneal thickness
left inner nuclear layer,133,135,0.691301773899179,0.345791691958846,1.1741909621307,0.917041596729743,0.612298685429627,0.344780821079333,0.319658784340471,0.760772568905804,0.0790030884677607,0.094646783824569,0.40527052502406,0.854532177785868,1.08316785161077,0.431465105438967,0.76958683,0.03643387,0.18729221,0.692635185176154,0.79977027,Eye,inner nuclear layer
left outer nuclear layer,133,135,-0.140330486449514,0.58451527060067,0.0580730790099156,0.252297799410926,-0.125778128135392,0.584403812924346,0.0253983668039916,0.185815064527303,-0.0145523583260878,0.0233409868100595,0.533970208415543,0.0326747122158594,0.277885547239336,0.906562794550905,1.34315467,0.01070622,0.71597174,0.140214842548903,0.12675888,Eye,outer nuclear layer
left posterior chamber depth,84,82,-0.564439806124194,0.743912660455022,-0.0680177820834604,1.6321243463361,-0.662390795583102,0.741936042268739,-0.57082210871945,0.970538390611376,0.0979509894630624,0.119653297666122,0.416087122460278,0.502804325817088,1.69532209550842,0.767760189890978,1.0181713,0.7373706,0.8104765,0.666358541826476,0.3858455,Eye,posterior chamber depth
left total retinal thickness,1280,1321,-1.28067839951803,0.385380587135149,0.328646658062818,0.284172273846416,-1.25150221638545,0.384961428237482,-0.0849321648348391,0.162556159130497,-0.0291761841319994,0.0266746635400832,0.274170839698791,0.413578822776519,0.312201506974904,0.185401432088158,1.04632956,0.01141908,0.38990556,0.766792028491872,0.49905792,Eye,total retinal thickness
left vitreous humour thickness,38,45,-0.665053643185736,0.33590631410985,-5.3355045888293,2.29774178028222,-0.0974928119767274,0.314558719175246,2.83910966458958,1.87329327232461,-0.56756083120588,0.202666629883982,0.00673977890771626,-8.17461425352348,2.94467514517196,0.00720697775563605,0.4550604,0.1716936,0.1584227,0.9171184,0.887982495750262,Eye,vitreous humor thickness
right anterior chamber depth,116,121,0.0416008155238602,0.18546242270753,0.907166456443894,1.66118072901742,0.296173821845026,0.140348237955968,0.122774190640232,0.26894019956389,-0.254573006309521,0.124639767613424,0.0433144849885177,0.784392265846929,1.6649332643377,0.638413753013465,0.31222258,0.03687125,0.14785894,1.31303717,0.207591836000704,Eye,anterior chamber depth
right corneal thickness,117,121,-0.195476186053631,0.200733030219369,0.356775997745916,0.825331381570433,-0.137229832622372,0.216259635172977,0.166196119459452,1.03611751557781,-0.0582463534319295,0.114461627289252,0.611776092442408,0.19057987828956,1.22006708867984,0.876134369984239,0.3535957,0.2002814,0.4301964,0.4157633,1.06908980509913,Eye,corneal thickness
right inner nuclear layer,130,134,0.733463228627421,0.353893291362332,0.710600087280419,1.03304886827118,0.530894806828292,0.351596120804777,-0.14809689011419,0.757373825710481,0.202568542293231,0.0938598512570764,0.0325934179478885,0.85869743763378,1.11476272138848,0.442403883901887,0.7572557,0.436167,0.4625671,0.686048594946553,0.666345,Eye,inner nuclear layer
right outer nuclear layer,130,134,-0.0879863531353266,0.597544339316052,0.343588124620651,0.29234514772159,-0.100097136270946,0.597468580596819,0.221226852013538,0.261774663803186,0.012110782857991,0.0231475847780263,0.60165156297246,0.122361272763173,0.269852927888627,0.650926341892194,1.3870946,0.4056428,0.6751187,0.119328979456394,0.1422066,Eye,outer nuclear layer
right posterior chamber depth,81,80,-0.461963783608073,0.669541381312275,0.719211651533407,2.74513513995464,-0.604218974421979,0.669713066881562,0.854214288873095,2.44240296407676,0.142255190806613,0.144260038672114,0.328042753216698,-0.135002637229833,1.96418750221577,0.945431455134202,0.9197606,3.0421623,0.540199,0.767965597505816,0.7719055,Eye,posterior chamber depth
