"","parameter_name","f_n","m_n","f_intercept","f_intercept_se","f_slope","f_slope_se","m_intercept","m_intercept_se","m_slope","m_slope_se","fm_diff_int","fm_diff_int_se","fm_diff_int_p","fm_diff_slope","fm_diff_slope_se","fm_diff_slope_p","group_sd","f_sd","m_sd","Category","parameter_group","lnVR","VlnVR","low_lnVR","high_lnVR","t_val_sd","p_val_sd","Scen"
"11","number of signals",6149,6126,0.77804778,0.605829868,0.189584584,0.096297795,0.791189539,0.605830843,0.536200331,0.089347177,-0.013141759,0.01346916,0.329236111,-0.346615747,0.127622668,0.006618013,1.815704043,0.744985121,0.747256672,"Morphology","number of signals",-0.00304478888701858,0.000162959913959077,-0.00336418444930212,-0.00272539332473504,-0.2385156018491,0.811485198112052,"A"
"12","% pre-pulse inhibition - ppi3",8690,8688,0.032866245,0.092838275,-0.296921946,0.112568076,0.066857,0.092810126,-0.331616304,0.098380622,-0.033990755,0.013631142,0.012654368,0.034694357,0.137709253,0.801091052,0.436163537,0.910046954,0.886106225,"Behaviour","pre-pulse inhibition",0.0266593465386258,0.000115101290659336,0.0264337521543594,0.0268849409228921,2.48490278734191,0.0129680201523485,"B"
"13","% pre-pulse inhibition - ppi4",4268,4328,0.066978146,0.116453019,-0.172011044,0.159234747,0.12758784,0.116540743,-0.164623947,0.150476679,-0.060609694,0.018360481,0.000967017,-0.007387097,0.194138613,0.9696482,0.459393845,0.82406962,0.876977522,"Behaviour","pre-pulse inhibition",-0.0622247200091909,0.000232731846712851,-0.0626808660468036,-0.0617685739715782,-4.07882472543829,4.56726500877025e-05,"B"
"14","average duration",664,643,-0.067191033,0.210409748,-1.296732323,0.40880878,-0.279626224,0.211909244,-0.660926336,0.417511946,0.212435191,0.054714604,0.000108526,-0.635805987,0.582961388,0.275629359,0.285043478,0.918510687,1.051547637,"Behaviour","average duration",-0.135289426492216,0.00153296401234829,-0.138293980746015,-0.132284872238418,-3.45539639638422,0.000567117463968092,"B"
"15","center average speed",8808,8816,0.247617469,0.25053293,-0.033781179,0.037851626,0.147855415,0.250534598,0.05202535,0.034672354,0.099762054,0.004779142,1.31e-95,-0.08580653,0.045830368,0.061186709,0.937178499,0.314584556,0.319688525,"Behaviour","center average speed",-0.0160942123628139,0.000113494518907735,-0.0163166575323158,-0.0158717671933121,-1.51071410264203,0.13087923812072,"B"
"16","center permanence time",9505,9491,-0.126855875,0.197545282,-0.000117246,0.104838442,-0.065057787,0.197504968,-0.123582462,0.08614605,-0.061798088,0.012629957,1e-06,0.123465216,0.123036296,0.31563916,0.736912079,0.921648543,0.815474629,"Behaviour","center time",0.122393572866891,0.000105296466597836,0.122187195584659,0.122599950149122,11.9275628525276,0,"B"
"17","center resting time",6467,6509,0.014547749,0.24609282,-0.317098973,0.122076463,0.060105457,0.246066313,-0.350880704,0.106302928,-0.045557708,0.013301239,0.00061654,0.03378173,0.150031703,0.821855284,0.777018717,0.787019158,0.726472971,"Behaviour","center time",0.080051812323323,0.000154156078288379,0.0797496719618799,0.0803539526847662,6.4474924437161,1.17744036742806e-10,"B"
"18","conditioning post-shock freezing time",287,326,-0.094410259,0.557967738,-1.8755456,0.70961964,-0.237777637,0.557769548,-1.278989673,0.632178519,0.143367378,0.06960298,0.039843933,-0.596555928,0.95030374,0.530401523,0.785746524,0.862744412,0.83684674,"Behaviour","conditioning freezing time",0.0306873278124026,0.00328671328671329,0.0242454881429352,0.0371291674818699,0.535276481793978,0.592653447887816,"B"
"19","cue baseline freeze count",281,319,0.025363805,0.462654886,-1.865897508,0.730069088,0.209641181,0.462747914,-1.140972837,0.695795478,-0.184277376,0.074201659,0.013285334,-0.724924671,1.008147293,0.472382418,0.650023507,0.880875541,0.915764208,"Behaviour","cue baseline freeze count",-0.0386291836393384,0.00335804132973944,-0.0452108237042247,-0.0320475435744521,-0.666611055016165,0.505277706463183,"B"
"20","dark side time spent",1841,1785,-0.237151117,0.754314233,0.096016874,0.170234383,-0.606491208,0.754583582,0.465755332,0.215335284,0.369340091,0.030534326,4.78e-33,-0.369738459,0.27099369,0.172532708,1.305609573,0.716631377,1.079385597,"Behaviour","time spent",-0.409594206653345,0.000552008188730747,-0.410676122822429,-0.408512290484262,-17.4333578602666,0,"B"
"21","forelimb and hindlimb grip strength measurement mean",12441,12481,0.286748596,0.176124645,0.766755714,0.071680597,0.530728001,0.17613438,0.703643807,0.067253949,-0.243979405,0.009254955,4.42e-151,0.063111907,0.088636928,0.476454578,0.634251024,0.714540615,0.746114162,"Behaviour","limb strength",-0.0432386521424513,8.02570286091186e-05,-0.0433959530280314,-0.0430813512568712,-4.82648109169425,1.39788950193065e-06,"B"
"22","forelimb and hindlimb grip strength normalised against body weight",12434,12470,0.608345902,0.155931707,-2.379125189,0.06263369,0.112827802,0.155940527,-2.49066685,0.058874837,0.4955181,0.008094486,0,0.11154166,0.077511856,0.150155424,0.561550929,0.624075087,0.652939046,"Behaviour","limb strength",-0.0452129713863392,8.03150020044563e-05,-0.0453703858976862,-0.0450555568749922,-5.04504114442675,4.56610036447813e-07,"B"
"23","latency to fall mean",1091,1125,0.220411695,0.042970729,-0.894129066,0.351580347,-0.190318465,0.045424426,-0.693310004,0.366250264,0.410730161,0.041415043,1.03e-22,-0.200819063,0.506381283,0.691717844,0.045186441,0.904267973,1.042315396,"Behaviour","latency to fall mean",-0.142060237301501,0.000903555453981521,-0.143831173449339,-0.140289301153662,-4.72601537246017,2.43343536787677e-06,"B"
"24","latency to first transition into dark",1826,1782,-0.821965101,0.494138704,-0.139667615,0.209061815,-0.64079828,0.494193162,-0.297000928,0.180580537,-0.181166821,0.029769632,1.28e-09,0.157333313,0.272401871,0.563585201,0.853961411,0.887705207,0.899707273,"Behaviour","latency to first transition into dark",-0.0134365129725548,0.000554713759393291,-0.0145237319626944,-0.0123492939824151,-0.570495346869322,0.568377322396846,"B"
"25","light side time spent",1844,1791,-0.895423722,0.6981042,-0.031402551,0.198202007,-0.554451397,0.698128252,-0.299299215,0.166512409,-0.340972325,0.027787893,6.08e-34,0.267896664,0.255150665,0.29380881,1.208037988,0.843553792,0.830985125,"Behaviour","time spent",0.015003744944509,0.000550626407636323,0.0139245370166051,0.0160829528724129,0.639397825215553,0.522604476565922,"B"
"26","percent time in dark",1841,1785,0.203571179,0.082027439,-0.020657715,0.178790077,-0.150667293,0.084986866,0.290829699,0.23361556,0.354238472,0.032843364,1.02e-26,-0.311487414,0.290760539,0.284112704,0.132977343,0.753680147,1.171959048,"Behaviour","percent time",-0.441472487691429,0.000552008188730747,-0.442554403860513,-0.440390571522346,-18.7901775424781,0,"B"
"27","percent time in light",1835,1784,-0.464952569,0.357014262,-0.18521363,0.233931315,-0.087085253,0.356977973,-0.079410777,0.18377328,-0.377867315,0.031696989,3.65e-32,-0.105802853,0.293369007,0.718383922,0.615434431,0.993077329,0.912068972,"Behaviour","percent time",0.0850851226115776,0.000553054383120358,0.0840011559391696,0.0861690892839855,3.61800955717279,0.000300936194124191,"B"
"28","percentage center time",9160,9152,-0.130963496,0.203127132,-0.064521178,0.106825446,-0.066672587,0.203086877,-0.156543224,0.087896145,-0.064290909,0.012805787,5.2e-07,0.092022046,0.123667615,0.456820774,0.757859857,0.917356049,0.811912604,"Behaviour","percentage center time",0.122102921244615,0.000109229949852417,0.121888834476871,0.122317008012358,11.6830218032498,0,"B"
"29","periphery resting time",6508,6533,-0.03804627,0.329110995,-0.350402056,0.062449842,-0.064016728,0.329112574,-0.281032955,0.058774392,0.025970458,0.007060571,0.000235796,-0.069369101,0.079425123,0.382466685,1.04049987,0.400583281,0.405546805,"Behaviour","periphery time",-0.0123143107401914,0.000153386559728272,-0.0126149428729713,-0.0120136786074115,-0.994297746176283,0.320096383634723,"B"
"30","shock intensity jump",72,72,0.397948587,0.106360906,-1.077425448,1.654346475,-0.397976604,0.111813623,0.597979466,1.568091074,0.79592519,0.15412352,8.2e-07,-1.675404914,2.279448901,0.463575097,0.0076197,0.901299857,0.947599299,"Behaviour","shock intensity jump",-0.0500937256181056,0.0140845070422535,-0.0776988521609233,-0.022488599075288,-0.422097234754559,0.673592421868116,"B"
"31","shock intensity vocalization",72,72,-0.202541595,0.165318067,-0.517027122,1.404603154,0.256457961,0.193882608,2.587680564,1.899631232,-0.458999555,0.162373489,0.005395533,-3.104707686,2.366341838,0.191673199,0.195232284,0.763733447,1.146297038,"Behaviour","shock intensity vocalization",-0.406073222223309,0.0140845070422535,-0.433678348766127,-0.378468095680492,-3.42163378932993,0.000813290519817711,"B"
"32","time mobile dark side",1841,1785,0.221094003,0.582155096,0.965976271,0.178468756,-0.309421285,0.582397384,0.458582575,0.199110146,0.530515288,0.029413386,1.04e-69,0.507393696,0.263721412,0.054435894,1.007096296,0.752862457,0.996730509,"Behaviour","time mobile",-0.280606410356879,0.000552008188730747,-0.281688326525963,-0.279524494187796,-11.943313382302,0,"B"
"33","whole arena average speed",9520,9500,0.347988283,0.238457999,0.717716576,0.049760282,0.223816089,0.238461483,0.669183468,0.045841081,0.124172194,0.00631985,4.21e-85,0.048533108,0.061193005,0.427720556,0.891785626,0.431335477,0.439987251,"Behaviour","whole arena average speed",-0.0198597058450418,0.000105163645592387,-0.0200658228028858,-0.0196535888871978,-1.93660030153449,0.0528090156248431,"B"
"34","cone b-wave implicit time-right",93,95,0.897714464,0.755614935,1.0836706,1.23740745,0.397223408,0.753044545,-0.712635304,0.785544748,0.500491055,0.133870077,0.000247266,1.796305905,1.442690527,0.214683972,1.041678448,1.008848219,0.814150311,"Eye","cone b-wave implicit time",0.214535209351589,0.0107539315448659,0.193457890831443,0.235612527871735,2.0687830278912,0.0399494980417265,"B"
"35","eye size-left",93,95,1.436493199,1.809533592,0.383957925,0.647721672,1.791326511,1.809539487,0.707993261,0.510125792,-0.354833312,0.077050301,7.69e-06,-0.324035336,0.809713457,0.689486874,2.555440492,0.525882974,0.530553497,"Eye","eye size",-0.00872645680357226,0.0107539315448659,-0.0298037753237185,0.012350861716574,-0.0841500366462912,0.933027643109259,"B"
"36","eye size-right",93,95,1.644784967,2.029975881,-0.072376993,0.762542047,1.969779417,2.029482485,0.213428157,0.435567813,-0.32499445,0.079362665,6.33e-05,-0.28580515,0.86493505,0.741448999,2.86726783,0.622441889,0.450090654,"Eye","eye size",0.324316890841195,0.0107539315448659,0.303239572321049,0.345394209361341,3.12741801897488,0.0020471424825943,"B"
"37","interpupillary distance",202,201,-0.101689837,0.311713325,0.721034628,0.850909965,0.538373421,0.310606517,1.439151638,0.638796711,-0.640063258,0.087713681,1.61e-12,-0.718117011,1.047524065,0.493404919,0.509604626,0.919711104,0.839349983,"Eye","interpupillary distance",0.0914194030123965,0.00498756218905473,0.0816439607511955,0.101194845273597,1.29447664413854,0.196245751970062,"B"
"38","right anterior chamber depth",116,121,0.039940621,0.180576091,0.810732941,1.647043148,0.30127136,0.134803199,0.087792519,0.268014575,-0.26133074,0.124036042,0.036219797,0.722940422,1.651883933,0.662057197,0.306315989,1.311436631,0.251920308,"Eye","anterior chamber depth",1.64994684020096,0.00851449275362319,1.63325874105723,1.66663493934468,17.8809488876087,0,"B"
"39","right inner nuclear layer",130,134,0.793735718,0.351473459,-0.233007588,1.038563313,0.57576239,0.348245284,-0.380465379,0.734213599,0.217973328,0.099824686,0.029906234,0.147457791,1.165003895,0.89937828,0.788084105,0.821962466,0.77636069,"Eye","inner nuclear layer",0.0571940838140926,0.00763536748848866,0.0422290385279267,0.0721591291002584,0.654539914298714,0.513338190901885,"B"
"40","rod a-wave implicit time-left",91,95,1.042823402,0.689063484,-1.219831368,1.079520015,0.148754947,0.688435932,-1.459521413,0.798273405,0.894068455,0.124622998,1.8e-11,0.239690044,1.319412716,0.85604955,0.94972893,0.86795043,0.83002597,"Eye","rod a-wave implicit time",0.0449140218962893,0.0108747044917258,0.0235999927499908,0.0662280510425877,0.430698356188212,0.667191806789449,"B"
"41","rod a-wave implicit time-right",91,95,0.918844768,0.543075556,-0.297630724,1.059291168,0.00019097,0.542491017,-0.925276235,0.846607251,0.918653798,0.127530082,1.53e-11,0.627645511,1.330803557,0.637759663,0.732788191,0.858562264,0.880290602,"Eye","rod a-wave implicit time",-0.0247564716772264,0.0108747044917258,-0.0460705008235249,-0.00344244253092797,-0.237399618342404,0.8126109086191,"B"
"42","rod b-wave implicit time-left",92,95,0.841930067,0.631187106,0.325744719,1.173825499,0.222279286,0.629879589,-1.088470389,0.845121811,0.619650781,0.134281252,7.41e-06,1.414215108,1.42270487,0.321526709,0.861096164,0.954767994,0.878439392,"Eye","rod b-wave implicit time",0.0834968143821074,0.0108136544306757,0.062302441156721,0.104691187607494,0.802941052491581,0.423039163962353,"B"
"43","rod b-wave implicit time-right",92,95,0.485679387,0.426909719,-2.310254907,1.352042011,0.163538535,0.420082405,-0.40154011,0.804317263,0.322140852,0.143479638,0.025958568,-1.908714797,1.552105552,0.220374927,0.55100387,1.104115694,0.834781758,"Eye","rod b-wave implicit time",0.279805050170884,0.0108136544306757,0.258610676945498,0.300999423396271,2.6907249472839,0.00778266332597433,"B"
"44","18khz-evoked abr threshold",3796,3989,0.099883624,0.147753026,-0.006241232,0.100401145,0.047318369,0.147973681,0.067130896,0.117397188,0.052565255,0.015020639,0.000468686,-0.073372129,0.136177108,0.590040815,0.712419181,0.542971909,0.756481535,"Hearing","abr threshold",-0.331614162662496,0.000257128434050505,-0.332118125132636,-0.331110200192355,-20.6803563414454,0,"B"
"45","24khz-evoked abr threshold",3774,3982,0.090747458,0.124488077,-0.082924392,0.129704358,-0.002773368,0.124584979,0.106764743,0.128150768,0.093520826,0.017394532,7.82e-08,-0.189689135,0.15928443,0.233736053,0.592685432,0.716442524,0.799631021,"Hearing","abr threshold",-0.109845447239066,0.000258117124456727,-0.110351347506794,-0.109339546971338,-6.83712708359574,8.69304628281498e-12,"B"
"46","30khz-evoked abr threshold",3623,3878,0.190842984,0.111581999,-0.255424302,0.148872882,0.015314077,0.111602179,-0.043425629,0.140021179,0.175528907,0.019487369,2.64e-19,-0.211998672,0.177779805,0.233111363,0.525440054,0.814929634,0.856208555,"Hearing","abr threshold",-0.0494031350383815,0.00026701097397656,-0.0499264669308525,-0.0488798031459104,-3.02336063337352,0.00250829323060153,"B"
"47","6khz-evoked abr threshold",3772,3918,-0.091193194,0.202828029,-0.144738846,0.093937947,-0.049784139,0.202872836,0.015378792,0.095318882,-0.041409055,0.012800368,0.001221634,-0.160117639,0.116920094,0.170895,0.986192444,0.516874154,0.595078707,"Hearing","abr threshold",-0.14088930633837,0.000260239535462951,-0.141399366455231,-0.140379246221509,-8.73356171265408,0,"B"
"48","click-evoked abr threshold",2282,2497,-0.515553234,0.256502729,-0.247269127,0.105617172,-0.555267778,0.256521091,-0.402559696,0.109990745,0.039714547,0.013408069,0.003071702,0.155290562,0.145442266,0.285704238,0.985681579,0.435411724,0.478066844,"Hearing","abr threshold",-0.0934396067256442,0.000419522617160714,-0.0942618559459792,-0.0926173575053092,-4.56197931983877,5.1942817491657e-06,"B"
"49","response amplitude - bn",8791,8814,-0.039100522,0.217335758,0.389367174,0.031194952,0.02598215,0.217335222,0.386530237,0.028297184,-0.065082672,0.003844668,8.95e-64,0.002836937,0.038730457,0.941609437,1.063087076,0.252578804,0.257376177,"Hearing","response amplitude",-0.0188152949061349,0.000113617191069094,-0.0190379805086549,-0.0185926093036148,-1.76518003069536,0.0775508494296875,"B"
"50","response amplitude - pp1",8762,8801,-0.03536729,0.219686678,0.401776113,0.035026797,0.027179583,0.219686139,0.418438687,0.031789828,-0.062546873,0.004316919,2.68e-47,-0.016662574,0.043479782,0.701557,1.074220099,0.282938868,0.288970073,"Hearing","response amplitude",-0.0210920160138324,0.000113889292421994,-0.0213152349252043,-0.0208687971024606,-1.97640819059801,0.0481241869073719,"B"
"51","response amplitude - pp1_s",8762,8781,-0.146161995,0.206613161,0.312141513,0.041772369,0.016588973,0.206611613,0.41074167,0.037568439,-0.162750968,0.005124148,2.69e-215,-0.098600157,0.051655054,0.05630175,1.009276381,0.337981671,0.340496379,"Hearing","response amplitude",-0.00741270146739803,0.000114018718804268,-0.0076361740498178,-0.00718922888497827,-0.694206109990381,0.487562155057612,"B"
"52","response amplitude - pp2",8836,8841,-0.067454718,0.217068932,0.348653409,0.027285977,-0.035109265,0.217069857,0.336238707,0.025862118,-0.032345453,0.003435459,5.29e-21,0.012414702,0.034569759,0.719509402,1.062048547,0.220090665,0.236247096,"Hearing","response amplitude",-0.0708386671319184,0.000113154181615182,-0.0710604452525843,-0.0706168890112525,-6.65939962209008,2.83042478343987e-11,"B"
"53","response amplitude - pp2_s",8762,8781,-0.134724777,0.205004673,0.349829913,0.045860471,0.021502139,0.20500265,0.443882575,0.041149216,-0.156226916,0.005619251,1.66e-166,-0.094052662,0.056653177,0.096902572,1.00083859,0.371163345,0.372872892,"Hearing","response amplitude",-0.00459521721726263,0.000114018718804268,-0.00481868979968239,-0.00437174463484286,-0.430346194702005,0.666949115574472,"B"
"54","response amplitude - pp3_s",8763,8781,-0.142157348,0.20718081,0.41884229,0.043957072,-0.007912074,0.207180379,0.433509992,0.040144094,-0.134245274,0.005433369,1.63e-132,-0.014667703,0.054726896,0.788689883,1.011694764,0.355027848,0.364364573,"Hearing","response amplitude",-0.0259585921137006,0.0001140122053244,-0.0261820519299344,-0.0257351322974668,-2.43111476697754,0.0150623940083678,"B"
"55","response amplitude - pp4",4300,4346,-0.016833667,0.227618631,0.1035558,0.030001714,0.004771721,0.227619532,0.141737899,0.028885377,-0.021605388,0.003490143,6.27e-10,-0.038182099,0.036808031,0.299610868,0.937455198,0.155579853,0.168590243,"Hearing","response amplitude",-0.0803108179475592,0.000231380916320894,-0.0807643162102581,-0.0798573196848604,-5.27971257988643,1.32531186025631e-07,"B"
"56","response amplitude - pp4_s",4300,4346,-0.046226824,0.219963398,0.139124631,0.044008688,0.034962887,0.219963785,0.234127021,0.041381026,-0.081189711,0.005058078,3.74e-57,-0.095002391,0.053391745,0.075218245,0.904780148,0.229213846,0.240786562,"Hearing","response amplitude",-0.0492542817724191,0.000231380916320894,-0.0497077800351179,-0.0488007835097202,-3.23802518431472,0.0012081444163341,"B"
"57","response amplitude - s",8764,8783,-0.149091906,0.217767396,0.289567705,0.040224597,0.020651952,0.217764982,0.3693236,0.035591319,-0.169743859,0.004894664,6.24e-255,-0.079755894,0.049391559,0.106379017,1.064311,0.326048217,0.322104807,"Hearing","response amplitude",0.0121684186214689,0.000113992724165052,0.0119449969876058,0.012391840255332,1.13971319362806,0.254421367670467,"B"
"58","cardiac output",3035,2033,0.029666189,0.255741381,2.352853262,0.224333202,0.378911795,0.256090493,2.638722136,0.231430652,-0.349245606,0.028063441,4.83e-35,-0.285868875,0.317496427,0.367958476,0.44180219,0.923370549,0.931856568,"Heart","cardiac output",-0.00922955441617271,0.000410861937412734,-0.01003482901612,-0.0084242798162254,-0.45533683011787,0.648886447324958,"B"
"59","ejection fraction",3168,2178,-0.277423719,0.578643346,-0.374278323,0.10928813,-0.318473099,0.578656064,-0.27397816,0.099269864,0.04104938,0.012755217,0.001297496,-0.100300163,0.144706639,0.488259633,1.002115622,0.466113036,0.420147507,"Heart","ejection fraction",0.103750518728248,0.00038755198120721,0.102990930802945,0.104510106653551,5.27017814962502,1.41643807793912e-07,"B"
"60","end-diastolic diameter",1630,631,-0.209261269,0.166632582,3.785277127,0.269422592,0.355328827,0.170696741,4.817934821,0.510380314,-0.564590096,0.050353813,1.97e-28,-1.032657695,0.561346339,0.065957001,0.233415817,0.79350013,1.086904427,"Heart","end-diastolic diameter",-0.315121969837692,0.00110058756467596,-0.31727908182629,-0.312964857849095,-9.49874834503798,0,"B"
"61","end-systolic diameter",1630,631,-0.208241685,0.337161268,2.316018122,0.283515988,0.166779336,0.338950485,3.074989821,0.496357827,-0.37502102,0.049930803,8.42e-14,-0.758971699,0.554355234,0.171102079,0.47560082,0.836807066,1.054942468,"Heart","end-systolic diameter",-0.232134688396744,0.00110058756467596,-0.234291800385341,-0.229977576408146,-6.99725566062621,3.42659234320308e-12,"B"
"62","fractional shortening",3198,2210,-0.272036637,0.414971362,-0.409052445,0.103169201,-0.31652401,0.414980178,-0.37974993,0.097877655,0.044487373,0.01241021,0.000340394,-0.029302515,0.138814375,0.832823948,0.827937327,0.445016989,0.420352534,"Heart","fractional shortening",0.0569487829513009,0.000382743385074254,0.0561986197012344,0.0576989462013674,2.91092221487904,0.00361836045881159,"B"
"63","hr",9716,8674,-0.667639724,0.366887603,0.342966774,0.045679381,-0.644039014,0.366885746,0.277093756,0.0398374,-0.023600709,0.005896675,6.3e-05,0.065873019,0.059006706,0.264280548,1.372043006,0.409655067,0.3782817,"Heart","hr",0.0796701660692896,0.000109116982627031,0.0794563007132389,0.0798840314253402,7.62692627590807,2.53130849614536e-14,"B"
"64","lvidd",3197,2210,0.401705579,0.438504027,1.250260448,0.09937466,0.554035535,0.438544595,1.110671388,0.111214715,-0.152329957,0.013150552,1.15e-30,0.13958906,0.145739245,0.338206459,0.87494986,0.426262673,0.4790108,"Heart","lvidd",-0.116737285801834,0.000382792320187468,-0.11748754496296,-0.115987026640708,-5.96661455879864,2.57619614529858e-09,"B"
"65","lvids",3197,2210,0.362630924,0.431283333,0.862942967,0.097403056,0.491791537,0.43132058,0.951839233,0.107871104,-0.129160614,0.012806807,1.04e-23,-0.088896266,0.142006023,0.531339113,0.860574194,0.417935032,0.464527319,"Heart","lvids",-0.105764276901394,0.000382792320187468,-0.106514536062519,-0.105014017740268,-5.405767917475,6.73004159068569e-08,"B"
"66","lvpws",3167,2178,0.376978929,0.64878291,0.456268875,0.094256975,0.458712836,0.648792576,0.653679064,0.086673217,-0.081733907,0.01106957,1.78e-13,-0.197410189,0.125500601,0.115782233,1.123642583,0.401679109,0.366897121,"Heart","lvpws",0.0905003031563836,0.000387601847953291,0.089740617494054,0.0912599888187132,4.59681593901047,4.38879660169533e-06,"B"
"67","mean sr amplitude",4055,4042,-0.290437651,0.497772334,0.562229053,0.155953089,-0.461732817,0.497821785,0.871733378,0.144102575,0.171295166,0.021256144,8.82e-16,-0.309504325,0.211744145,0.143864996,1.204738339,0.947902973,0.964468032,"Heart","mean sr amplitude",-0.0173249360728584,0.000247066727366643,-0.0178091779602752,-0.0168406941854416,-1.10221041254474,0.270402974679009,"B"
"68","pnn5(6>ms)",1294,902,0.035669049,0.105382801,-1.082160484,0.316229066,-0.183515278,0.107031036,-0.496610745,0.328803134,0.219184327,0.042283227,2.37e-07,-0.585549739,0.450368665,0.193684344,0.201351183,0.952462872,0.989201678,"Heart","pnn5(6>ms)",-0.0380153466067456,0.000941636559189626,-0.0398609203492835,-0.0361697728642077,-1.23884593087696,0.215535078949745,"B"
"69","respiration rate",2315,1595,-0.385716671,0.598277174,0.389001958,0.227025113,-0.247277127,0.598408726,0.891348753,0.1638855,-0.138439544,0.023959324,8.14e-09,-0.502346795,0.279050551,0.071906234,0.960495217,0.819463204,0.598475064,"Heart","respiration rate",0.314167036429758,0.000529752344845461,0.313128740913135,0.31520533194638,13.64973347619,0,"B"
"70","stroke volume",3036,2033,0.253327547,0.5127793,1.887202977,0.1603712,0.505291507,0.512887404,1.714099244,0.17248406,-0.251963959,0.020548549,4.4e-34,0.173103732,0.232034044,0.455685557,0.887863959,0.659600796,0.69473882,"Heart","stroke volume",-0.0519824972432823,0.000410807637924996,-0.0527876654181892,-0.0511773290683753,-2.56470775152039,0.0103548244839202,"B"
