parameter_name,procedure_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,f_sd,m_sd,r_m,r_c,Category,parameter_group,lnVR,VlnVR,low_lnVR,high_lnVR,t_val_sd,p_val_sd,Zr,VZr
conditioning shock maximum motion index,Fear Conditioning,168,238,7.684212131304265,0.07941548002032295,0.05550184784469501,0.06595576497468686,7.845559300700081,0.05276376943880612,0.06618108242021187,0.0543783671892828,-0.16134716945701705,0.08958055285146405,0.07259351434805326,-0.01067923465608687,0.08390227968168462,0.8987948731013038,0.36551104793404504,0.359034,0.3076035332480655,0.5671884388235053,Behaviour,conditioning shock maximum motion index,0.018782057569880294,0.0051579626047711154,0.008672636630924505,0.028891478508836083,0.261519497325706,0.7938251883351568,0.317896328271919,0.0024813895781637717
conditioning shock minimum motion index,Fear Conditioning,168,238,2.8310036340670925,0.35793152213789625,0.6692219246030268,0.3035130242500428,2.3645407021713525,0.2376720979850674,0.00297743399859194,0.25467260804239955,0.4664629318946942,0.4140572606942213,0.2607444652894318,0.6662444906045598,0.3903782373575499,0.08882524691981368,1.7290140009918429,1.758458,0.12332231604724551,0.41511568604662685,Behaviour,conditioning shock minimum motion index,-0.015983340790789433,0.0051579626047711154,-0.02609276172974522,-0.005873919851833644,-0.22255044388192374,0.8239978765576916,0.12395326164295281,0.0024813895781637717
conditioning tone % freezing time,Fear Conditioning,168,238,2.6521544400043,0.20827521299016685,-0.00686577492152418,0.17392907165586785,2.600874635242133,0.13112333466925014,-0.09265233729857178,0.13486036735400747,0.0512798047618901,0.23229012415128583,0.825417717093085,0.08578656237705423,0.21612086028014096,0.6916698330780663,0.973993347526047,0.8838882,0.0701445056491395,0.48993807279147583,Behaviour,conditioning tone freezing time,0.09797653296832297,0.0051579626047711154,0.08786711202936717,0.10808595390727876,1.3642154783233684,0.17325923277447242,0.07025988934500926,0.0024813895781637717
conditioning tone average motion index,Fear Conditioning,168,238,4.338439390046192,0.2055953313497492,0.18055784512901144,0.16612481073662955,4.327262317406869,0.1281357731037218,-0.01863032066211796,0.11964583321529268,0.01117707263968026,0.2181662938378702,0.9591717330201976,0.1991881657909749,0.2003315091329869,0.32080886502114236,0.9109603120920176,0.7319176,0.0991056640254016,0.6238896436877422,Behaviour,conditioning tone average motion index,0.2197340352359528,0.0051579626047711154,0.20962461429699702,0.2298434561749086,3.0595548025796835,0.002364425208877474,0.09943205941439563,0.0024813895781637717
conditioning tone freeze count,Fear Conditioning,291,333,1.1864827505388904,0.1910845253015104,-0.0715428090312747,0.09007407509990864,1.2018581010525669,0.18520174909810905,-0.0636801909596874,0.087641502579929,-0.01537535051515834,0.12706197263999514,0.9037329215961908,-0.00786261806409609,0.124225728139607,0.94955775362011,0.6804015136204801,0.7035057352,0.07683747440971264,0.4772825248247371,Behaviour,conditioning tone freeze count,-0.033171984183093625,0.0032512626262626264,-0.03954434183484948,-0.02679962653133777,-0.5817620984552548,0.5609377154739836,0.0769892284316848,0.001610305958132045
conditioning tone freezing time,Fear Conditioning,291,333,1.1182330683561683,0.2264972058977597,-0.12258823955105252,0.1555423001510127,1.1305937618290558,0.2090955158935865,-0.1159762309303604,0.1489973014991582,-0.01236069349936031,0.21799658159046104,0.9548051156384416,-0.00661200861824163,0.21247031408618533,0.9751861495213318,1.1543607679500592,1.163904222,0.0866773999459355,0.46966054297809856,Behaviour,conditioning tone freezing time,-0.00801235971987678,0.0032512626262626264,-0.014384717371632636,-0.0016400020681209236,-0.14051879376541895,0.8882955970059696,0.08689545200769697,0.001610305958132045
conditioning tone maximum motion index,Fear Conditioning,168,238,6.459345546886777,0.12727247772479233,0.12657001753761846,0.1040948324273962,6.490428902356533,0.08297761791034022,-0.06920599717411337,0.08208999247603514,-0.03108335547023888,0.13971556594409762,0.8240810102622302,0.19577601471198813,0.1298560700807994,0.1326037721184946,0.5705883587820711,0.523373,0.11204958225914118,0.5730043122763699,Behaviour,conditioning tone maximum motion index,0.08727627733305342,0.0051579626047711154,0.07716685639409762,0.09738569827200921,1.2152261855059638,0.22498953693810342,0.11252207831157753,0.0024813895781637717
context % freezing time,Fear Conditioning,168,238,3.672794962139,0.09270978303558522,-0.11887211538270258,0.07701293210683068,3.754187835091927,0.06259419818475863,0.01372145457475743,0.06479799687037797,-0.08139287420394409,0.10521262584055016,0.4397190095020051,-0.13259357117851267,0.0988039585458302,0.1805229957811643,0.4262883278753867,0.4303336,0.08231290863533525,0.49888174469969576,Behaviour,context % freezing time,-0.008542135072664634,0.0051579626047711154,-0.018651556011620423,0.001567285866291155,-0.11893983723455152,0.9053821380814271,0.08249956941748879,0.0024813895781637717
context average motion index,Fear Conditioning,168,238,3.613245900490308,0.166123213841615,0.19715784412372547,0.13385349592895288,3.4325414940137233,0.11907926882868952,-0.00541024971940726,0.11840904631467213,0.18070440647682223,0.18570267625060788,0.33122400094033555,0.20256809384354957,0.17494356329066257,0.24773998902127797,0.7176000878101743,0.7674251,0.06852763869267894,0.5846226978258974,Behaviour,context average motion index,-0.06622580855575495,0.0051579626047711154,-0.07633522949471075,-0.056116387616799164,-0.9221215566532768,0.3570155192124278,0.06863521140333871,0.0024813895781637717
context freeze count,Fear Conditioning,291,333,3.4475235716136683,0.22343762180325263,-0.12188053005861012,0.06522600458818181,3.6401049399079426,0.22041803696179396,-0.10809209862355136,0.06103058282183178,-0.19258136829708516,0.090424976881364,0.03366690165562478,-0.01378843143613904,0.08861112963671056,0.8764044952591268,0.5117613708375275,0.5093700123,0.09313942697911258,0.5561544526560744,Behaviour,context freeze count,0.004904711263421559,0.0032512626262626264,-0.0014676463883342974,0.011277068915177414,0.08601761960261323,0.9314800918663211,0.09341016427515818,0.001610305958132045
context freezing time,Fear Conditioning,291,333,4.11794545915094,0.6446314330279079,-0.15183579710666467,0.08489664930994337,4.280490680601951,0.6428553354121757,-0.06063565436034535,0.07992792850042035,-0.16254522145949357,0.11807181939169492,0.16921433954631243,-0.09120014274953868,0.1153784746622004,0.4296327468960002,0.650049744877654,0.6477469016,0.05056525559234324,0.822011465563638,Behaviour,context freezing time,0.0037698140344544955,0.0032512626262626264,-0.0026025436173013608,0.010142171686210351,0.06611407118022403,0.9473082524062442,0.05060841766850655,0.001610305958132045
context maximum motion index,Fear Conditioning,168,238,6.777442735419221,0.08780679501917552,0.16983201789411936,0.07119273065727712,6.64075751453537,0.06614593164594519,-0.03281018097441744,0.067625158584234693,0.13668521971510797,0.10111530172365062,0.1773728388119971,0.2026421976145371,0.09624560191472348,0.0360057538103609,0.3812653713380207,0.4496842,0.10727335709281637,0.5536004909405812,Behaviour,context maximum motion index,-0.16414726979693775,0.0051579626047711154,-0.17425669073589353,-0.15403784885798197,-2.285570221737735,0.022796653545821055,0.10768770710980889,0.0024813895781637717
cue baseline % freezing time,Fear Conditioning,168,238,1.988903977125224,0.20695013794200345,-0.3515990355014625,0.16512375618271957,2.758754921652383,0.14987152498513628,-0.3168468683319913,0.14682983775158065,-0.7698509445272522,0.22945139627375769,8.855449539650561e-4,-0.03475216716949659,0.2161583462008659,0.8723715072849572,0.8787548380753016,0.9444639,0.15925195592554722,0.6219507647327596,Behaviour,cue baseline % freezing time,-0.07120887273111301,0.0051579626047711154,-0.08131829367006879,-0.06109945179215722,-0.9915052454974207,0.32203239499784875,0.16061909314585862,0.0024813895781637717
cue baseline average motion index,Fear Conditioning,168,238,4.860336422520899,0.12359944902714322,0.23825540426680297,0.09599878265291724,4.354063460456118,0.09941627237342889,0.21234623055263663,0.09755020664512123,0.506272962073746,0.1396442872086364,3.339976627148832e-4,0.0259091737258357,0.13389220392666135,0.8466804185627269,0.4960039733353369,0.6381056,0.16360887806324945,0.6282879234966737,Behaviour,cue baseline average motion index,-0.25101720598429783,0.0051579626047711154,-0.2611266269232536,-0.24090778504534205,-3.49513855363692,5.263003619577766e-4,0.16509260176597645,0.0024813895781637717
cue baseline freeze count,Fear Conditioning,291,333,2.1921002711058235,0.4330089879675328,-0.27724426180906486,0.09358553112349371,2.755868676021534,0.4313170340650381,-0.17031811630807608,0.09621671183292456,-0.5637684049164179,0.12405396363261184,6.867100734988534e-6,-0.1069261455004404,0.12030392409639871,0.3745254405347517,0.6001634345359464,0.65541457,0.14121029728392798,0.7781576849057937,Behaviour,cue baseline freeze count,-0.08784499810273973,0.0032512626262626264,-0.09421735575449558,-0.08147264045098387,-1.5406039672807323,0.12392176305072256,0.14216028344480944,0.001610305958132045
cue baseline freezing time,Fear Conditioning,291,333,2.4155380987720743,0.2585257431971896,-0.3717699822184734,0.10839499011611164,3.150465095434698,0.25453107999340463,-0.2692391995458828,0.11490705410867966,-0.7349269965999959,0.15909501692798036,4.867858155135571e-6,-0.10253078269543522,0.15513623949362973,0.5089668449756074,0.7603858576013702,0.858326629,0.16914687557246696,0.656848758112679,Behaviour,cue baseline freezing time,-0.12093774211865524,0.0032512626262626264,-0.1273100997704111,-0.11456538446689939,-2.120976371176716,0.034318779711908665,0.17078828099196378,0.001610305958132045
cue baseline maximum motion index,Fear Conditioning,168,238,7.234344255245079,0.07651192601012442,0.10421970005065744,0.0636010433614218,7.08042591065426,0.05516324465656794,0.0420783279769296,0.05799748828148293,0.15391834304277993,0.08909018161141619,0.0849831626526778,0.06214137051403469,0.08456826908031806,0.46297877990526104,0.35053622961161396,0.3935991,0.0877403716071808,0.47272050723373593,Behaviour,cue baseline maximum motion index,-0.11496616849046062,0.0051579626047711154,-0.1250755894294164,-0.10485674755150484,-1.6007774697327428,0.11020784846956655,0.08796657004302535,0.0024813895781637717
cue tone % freezing time,Fear Conditioning,168,238,3.1168025300391737,0.15148953705448964,-0.35428021541397675,0.12463911926011036,3.599884081341731,0.09513145422901068,-0.09123982674559548,0.09414147795138202,-0.4830815499395278,0.1654431907957318,0.00374198449231,-0.2630403880261464,0.15307739386379438,0.08667091327155012,0.6892141501310157,0.5973727,0.14960547657296405,0.5705014450067206,Behaviour,cue tone % freezing time,0.14391347242638916,0.0051579626047711154,0.13380405148743338,0.15402289336534494,2.00383684414327,0.045754737718811,0.15073685581863167,0.0024813895781637717
dark side distance travelled,Light-Dark Test,111,84,8.11530135440201,0.0753531463996964,0.00643784012180573,0.08229422452034922,8.012425786311736,0.07449477966693871,0.09357161052169956,0.06308341763531299,0.10287556809025834,0.10248153903443774,0.3169980456130965,-0.08713377040020584,0.1018221652920312,0.39344316305467375,0.3355864,0.24434813298415511,0.09299209260446024,0.42305233773578127,Behaviour,distance travelled,0.3157422565187462,0.010802469135802469,0.29456980606846783,0.3369147069690246,3.03788403365153,0.0027121598103925226,0.09326154265333898,0.005208333333333333
dark side time spent,Light-Dark Test,1844,1791,6.614314090532017,0.20568406874908784,0.05412081656647844,0.03802997924035916,6.456078487651616,0.20616478649879152,0.05110786144487008,0.0382597456741284,0.1582356028816297,0.01998752897050202,3.306013142150644e-15,0.00301295507453071,0.01962231222743611,0.8779760343364958,0.34546697,0.4998885845561992,0.10143816665498775,0.6537126573277523,Behaviour,time spent,-0.36949625517709367,5.512335845099261e-4,-0.37057665314980204,-0.3684158572043853,-15.737734211974999,0,0.10178825340682902,2.7533039647577095e-4
dark sleep bout lengths mean,Sleep Wake,864,842,5.29229762520624,0.01333629449288341,0.04736089851374032,0.01304851278234048,5.509292914076078,0.0139672441867008,0.0972971580336181,0.01283911426767828,-0.21699528886976557,0.01834543169178071,5.831279525986748e-31,-0.0499362595197342,0.01738607482629567,0.00413208940014504,0.2158973,0.24659964667519663,0.5793366650783492,0.6223103771238656,Behaviour,dark sleep bout lengths mean,-0.13297855375498044,0.0011766676495302327,-0.1352847799698331,-0.13067232754012778,-3.8766330914584035,1.0993013568727505e-4,0.6614636856953827,5.871990604815032e-4
dark sleep bout lengths standard deviation,Sleep Wake,864,842,5.644536414580082,0.01741385540966513,0.02210676685399277,0.0165579076335693,5.8472614068132405,0.01601805649337048,0.01411770521584199,0.01402706555650664,-0.2027249922341876,0.02166464428616939,2.7869231797361413e-20,0.00798906163699903,0.02021186012774072,0.6927013124215988,0.27048497,0.25877100798363684,0.37870368687172823,0.4972530959074366,Behaviour,dark sleep bout lengths standard deviation,0.04425777394956627,0.0011766676495302327,0.04195154773471362,0.046564000164418924,1.2902167018848965,0.19715048247789624,0.3985454282060358,5.871990604815032e-4
data confidence level,Sleep Wake,864,842,-0.01689456727388701,0.00303803749799046,0.00607587362486504,0.00292886095073671,-0.00797777790275544,0.00192651791766855,0.00351077006202875,0.00153438841662677,-0.00891678937111788,0.00325025667206556,0.0061509661878038,0.0025651035628575,0.003115149813415,0.41039177870938537,0.04992531,0.02588862270267734,0.1984623084999198,0.4414541264078573,Behaviour,data confidence level,0.6567092668270823,0.0011766676495302327,0.6544030406122296,0.659015493041935,19.144597405834737,0,0.20113130367025497,5.871990604815032e-4
distance travelled - total,Open Field,8942,8881,8.904351585896464,0.21836238349929615,0.00860959292527879,0.0184437460343788,8.81020051013567,0.21836187048552716,0.00301670310789175,0.01825329223777112,0.09415107595681882,0.00560398344934784,8.617590344087714e-63,0.00559288993339212,0.0050663328869993,0.26963946063888206,0.20551664599824357,0.19620265,0.05434976418784976,0.9672063629194108,Behaviour,distance travelled - total,0.04637859509191563,1.1225365907110245e-4,0.04615858196300343,0.04659860822082783,4.3774111076205,1.2078076441435215e-5,0.054403373766998595,5.611672278338945e-5
fecal boli,Light-Dark Test,1504,1489,0.5787835096963804,0.02692202283867108,-0.0778627846288314,0.02740333370054445,1.0972487062356726,0.02941303526343576,-0.01941654008461701,0.02716241616727894,-0.5184651965392634,0.03828400089814499,1.709462956631061e-40,-0.05844624454422054,0.03639966226655781,0.10845926207875949,0.6531191,0.7751149995505283,0.298685656025658,0.3596169680855117,Behaviour,fecal boli,-0.17125526573830357,6.69585014207666e-4,-0.17256762825073835,-0.1699429032258688,-6.618218044537161,4.2920555998193777e-11,0.30807589472152314,3.3444816053511704e-4
forelimb and hindlimb grip strength measurement mean,Grip Strength,12362,12416,5.293352908591636,0.04596146354394901,0.05453299658044022,0.00491068444356357,5.282680420074684,0.04594928006741295,0.05561438037417269,0.00485352692922207,0.01067248815882253,0.00317523753685985,7.774938350218825e-4,-0.00108138379996001,0.00291082823629919,0.7102659472431081,0.127516794,0.13131321288831432,0.20225023529301303,0.8611055058736435,Behaviour,limb strength,-0.029337157967396346,8.073669884560143e-5,-0.02949539898936438,-0.02917891694542831,-3.2649951862708257,0.001096144551076872,0.20507765282789922,4.0363269424823414e-5
forelimb and hindlimb grip strength normalised against body weight,Grip Strength,12355,12405,2.1845185985551456,0.04615348576361004,-0.08822208071005319,0.00454164258635034,2.166252814760469,0.04614238502484317,-0.0904438681584221,0.0044456595884079,0.01826578159626352,0.00316454759800312,7.940424691088985e-9,0.00222178750458302,0.0028977351319723,0.4432489794594188,0.12698446,0.1310596032975813,0.36004773581116833,0.8752096024739335,Behaviour,limb strength,-0.03158732676682614,8.079535266332607e-5,-0.03174568274816447,-0.031428970785487814,-3.514145043475273,4.419590570190479e-4,0.37694074580413106,4.03926162297532e-5
forelimb grip strength measurement mean,Grip Strength,12367,12430,4.598057326526202,0.05483129670200597,0.05634616199176367,0.00631669569658348,4.602012369342053,0.05480799694589428,0.05236966223821116,0.00624902304677585,-0.00395504291339214,0.00398224522642201,0.3206386377282909,0.0039764997320574,0.00365682948599435,0.2768645075975416,0.16344254,0.16232533751728723,0.1814901145591585,0.847428368695044,Behaviour,limb strength,0.006859118613636614,8.067495929707329e-5,0.0067009985989601156,0.007017238628313112,0.7636580525542708,0.4450783106386691,0.18352312774431748,4.0332338468984434e-5
forelimb grip strength normalised against body weight,Grip Strength,12360,12419,1.4908014646878012,0.05557000567117599,-0.08637688283297446,0.00612076734054238,1.4867868893694918,0.05554694068912515,-0.09378896934345156,0.0060401945022815,0.0040145751961182,0.00397767742209845,0.31285345858142083,0.00741208648998539,0.00365010969518486,0.04230294435026276,0.16314896,0.1621222497088157,0.2898711589471718,0.8578858891647971,Behaviour,limb strength,0.006313162317828067,8.073351408150478e-5,0.00615492753788296,0.0064713970977731735,0.7026192228686172,0.48229968053821803,0.2984255978693118,4.036164029706167e-5
horizontal activity,Light-Dark Test,111,84,7.39334567127316,0.07214295205456457,-0.0525761591104548,0.07554229709581961,7.23514109782682,0.08717288313838234,0.15755855926932544,0.07319728810423284,0.1582045734155702,0.10709743390174044,0.1416245565662944,-0.21013471834130645,0.10290294381255764,0.04281827194109849,0.2969726,0.28432551025447617,0.16553128569532286,0.5358302351042012,Behaviour,horizontal activity,0.041976924092174205,0.010802469135802469,0.02080447364189585,0.06314937454245256,0.4038769751233696,0.6867503368663195,0.16706852460888114,0.005208333333333333
