parameter_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,group_sd,f_sd,m_sd,Category,parameter_group,lnVR,VlnVR,low_lnVR,high_lnVR,t_val_sd,p_val_sd
dark side time spent,1841,1785,-0.237151117,0.754314233,0.096016874,0.170234383,-0.606491208,0.754583582,0.465755332,0.215335284,0.369340091,0.030534326,4.78e-33,-0.369738459,0.27099369,0.172532708,1.305609573,0.716631377,1.079385597,Behaviour,time spent,-0.40959420665334517,5.520081887307467e-4,-0.4106761228224286,-0.40851229048426174,-17.433357860266575,0
distance travelled - total,9078,9053,0.225542356,0.246061907,-0.152076319,0.035773073,0.094109133,0.246061361,-0.049143175,0.031445203,0.131433223,0.004391063,3.52e-192,-0.102933144,0.042754097,0.016069363,0.920473326,0.300964394,0.290055446,Behaviour,distance travelled - total,0.03691971545118706,1.1032069078947528e-4,0.03670349087049011,0.03713594003188401,3.5150366602096463,4.407659775593764e-4
forelimb and hindlimb grip strength measurement mean,12441,12481,0.286748596,0.176124645,0.766755714,0.071680597,0.530728001,0.17613438,0.703643807,0.067253949,-0.243979405,0.009254955,4.42e-151,0.063111907,0.088636928,0.476454578,0.634251024,0.714540615,0.746114162,Behaviour,limb strength,-0.04323865214245132,8.025702860911864e-5,-0.04339595302803139,-0.04308135125687124,-4.826481091694247,1.3978895019306492e-6
forelimb and hindlimb grip strength normalised against body weight,12434,12470,0.608345902,0.155931707,-2.379125189,0.06263369,0.112827802,0.155940527,-2.49066685,0.058874837,0.4955181,0.008094486,0,0.11154166,0.077511856,0.150155424,0.561550929,0.624075087,0.652939046,Behaviour,limb strength,-0.04521297138633919,8.03150020044563e-5,-0.04537038589768618,-0.04505555687499219,-5.045041144426748,4.5661003644781317e-7
forelimb grip strength measurement mean,12446,12495,0.234446521,0.190122457,1.12765426,0.076604476,0.484869987,0.190130356,0.891843525,0.071306194,-0.250423466,0.009852791,1.03e-140,0.235810734,0.094424118,0.012518689,0.684676965,0.764572793,0.791158621,Behaviour,limb strength,-0.03418108501514821,8.019598704284444e-5,-0.03433826626145683,-0.03402390376883959,-3.8168889620288993,1.354713755588044e-4
forelimb grip strength normalised against body weight,12439,12484,0.531958451,0.177376087,-1.660596069,0.070482102,0.135631698,0.177383841,-1.926973515,0.065756285,0.396326753,0.009075719,0,0.266377445,0.086962709,0.00219274,0.638794911,0.703112083,0.729373823,Behaviour,limb strength,-0.03666993003467078,8.025386305404294e-5,-0.03682722471587691,-0.03651263535346464,-4.093333295512264,4.26554973411708e-5
hot plate latency,72,72,-0.099774048,0.237916533,-1.73892634,1.992609012,0.182050414,0.225346933,-0.077783422,1.433957001,-0.281824462,0.163421347,0.086835751,-1.661142918,2.459641432,0.500569153,0.283048358,1.084234977,0.863724034,Behaviour,hot plate latency,0.2273766142680981,0.014084507042253521,0.19977148772528044,0.25498174081091574,1.9159094067407432,0.057386317726063396
latency to center entry,6216,6263,-0.130147345,0.141289226,0.036803871,0.144672105,-0.10493796,0.14132694,-0.041952669,0.139442487,-0.025209385,0.016695088,0.131071787,0.07875654,0.186275807,0.672451892,0.443643389,0.914447595,0.949916744,Behaviour,latency to center entry,-0.03805357737988984,1.6029721727525307e-4,-0.03836775415257133,-0.03773940060720835,-3.0056091144564556,0.002655764101319402
latency to fall mean,1091,1125,0.220411695,0.042970729,-0.894129066,0.351580347,-0.190318465,0.045424426,-0.693310004,0.366250264,0.410730161,0.041415043,1.03e-22,-0.200819063,0.506381283,0.691717844,0.045186441,0.904267973,1.042315396,Behaviour,latency to fall mean,-0.14206023730150058,9.035554539815208e-4,-0.1438311734493391,-0.14028930115366206,-4.726015372460167,2.4334353678767684e-6
latency to first transition into dark,1826,1782,-0.821965101,0.494138704,-0.139667615,0.209061815,-0.64079828,0.494193162,-0.297000928,0.180580537,-0.181166821,0.029769632,1.28e-9,0.157333313,0.272401871,0.563585201,0.853961411,0.887705207,0.899707273,Behaviour,latency to first transition into dark,-0.013436512972554753,5.547137593932914e-4,-0.01452373196269442,-0.012349293982415086,-0.5704953468693218,0.5683773223968465
latency to immobility,586,585,0.683759808,0.977118884,-0.588767653,0.284067476,0.676054222,0.977141252,-1.390783074,0.271091106,0.007705586,0.039647728,0.845934711,0.802015421,0.381867517,0.035921646,1.380995459,0.670820362,0.685809033,Behaviour,latency to immobility,-0.02209929066090808,0.0017108652382624985,-0.025452524910304114,-0.018746056411512044,-0.5342818644706483,0.5932481268463394
learning difference,609,585,-0.292584209,0.384275605,-0.653720961,0.428723395,-0.371770006,0.385051439,-0.177490437,0.436205965,0.079185797,0.057117036,0.16589144,-0.476230524,0.610239861,0.435311437,0.535689661,0.931369924,1.03606681,Behaviour,learning difference,-0.10656416626730747,0.0016785328046142753,-0.10985403011122045,-0.10327430242339448,-2.6010354708526857,0.009409349241477072
learning slope,616,593,-0.362192517,0.449701474,-0.895455579,0.451003478,-0.415857874,0.449965937,-0.1235539,0.40639171,0.053665357,0.056189676,0.339731468,-0.771901679,0.605747975,0.202804748,0.629305677,0.979564148,0.972834291,Behaviour,learning slope,0.006862378947024536,0.0016576027246758955,0.003613537305984318,0.010111220588064754,0.16855221750871943,0.8661771071832454
light side time spent,1844,1791,-0.895423722,0.6981042,-0.031402551,0.198202007,-0.554451397,0.698128252,-0.299299215,0.166512409,-0.340972325,0.027787893,6.08e-34,0.267896664,0.255150665,0.29380881,1.208037988,0.843553792,0.830985125,Behaviour,time spent,0.01500374494450901,5.506264076363228e-4,0.013924537016605147,0.016082952872412872,0.6393978252155527,0.5226044765659217
locomotor activity,9480,9524,0.188354497,0.129415856,0.393721333,0.098093783,-0.059871151,0.129471165,0.033328942,0.099026505,0.248225648,0.013128147,5.22e-79,0.360392391,0.123860235,0.003622306,0.440737135,0.839417987,0.965876251,Behaviour,locomotor activity,-0.14032669866311018,1.0525264306712826e-4,-0.1405329900527994,-0.14012040727342095,-13.67803790211442,0
ma threshold inducing clonic seizure,788,750,-0.487023405,0.050949449,0.36567009,0.355551686,0.530310452,0.051449174,2.08411128,0.323019355,-1.017333856,0.043336823,2.33e-104,-1.718441189,0.479641485,3.50612e-4,0.057570277,0.848511894,0.850473885,Behaviour,ma threshold inducing clonic seizure,-0.0023418363699070385,0.0013028807575708738,-0.004895435730896212,2.1176299108213508e-4,-0.06487900959144323,0.9482787757322297
percent time in dark,1841,1785,0.203571179,0.082027439,-0.020657715,0.178790077,-0.150667293,0.084986866,0.290829699,0.23361556,0.354238472,0.032843364,1.02e-26,-0.311487414,0.290760539,0.284112704,0.132977343,0.753680147,1.171959048,Behaviour,percent time,-0.44147248769142944,5.520081887307467e-4,-0.44255440386051287,-0.440390571522346,-18.790177542478098,0
percent time in light,1835,1784,-0.464952569,0.357014262,-0.18521363,0.233931315,-0.087085253,0.356977973,-0.079410777,0.18377328,-0.377867315,0.031696989,3.65e-32,-0.105802853,0.293369007,0.718383922,0.615434431,0.993077329,0.912068972,Behaviour,percent time,0.08508512261157755,5.530543831203582e-4,0.08400115593916964,0.08616908928398546,3.6180095571727944,3.009361941241906e-4
percentage center time,9160,9152,-0.130963496,0.203127132,-0.064521178,0.106825446,-0.066672587,0.203086877,-0.156543224,0.087896145,-0.064290909,0.012805787,5.2e-7,0.092022046,0.123667615,0.456820774,0.757859857,0.917356049,0.811912604,Behaviour,percentage center time,0.12210292124461461,1.0922994985241669e-4,0.12188883447687075,0.12231700801235847,11.683021803249783,0
percentage of live gated events in panel a,762,754,-0.135795345,0.447118821,-0.698287093,0.18581192,-0.035897087,0.44705899,-0.018325119,0.151345966,-0.099898259,0.021703204,4.52e-6,-0.679961974,0.210300206,0.00125021,1.094273814,0.449901684,0.393184105,Behaviour,percentage of live gated events,0.1347441357576874,0.0013210408475602627,0.13215494327436303,0.13733332824101177,3.707248942230994,2.1707696896910988e-4
percentage of live gated events in panel b,762,759,-0.081054796,0.477745238,-0.624934682,0.190676814,0.012572221,0.477744851,-0.068680177,0.169396282,-0.093627018,0.023222916,5.81e-5,-0.556254505,0.223151578,0.012783169,1.16929956,0.457203357,0.448112347,Behaviour,percentage of live gated events,0.020081698500040365,0.0013166608302504343,0.01750109069289491,0.022662306307185822,0.5534310030464,0.5800497600828765
periphery average speed,8817,8824,0.333476867,0.235370869,-0.120011941,0.028740725,0.219521378,0.235370515,-0.043180784,0.025284894,0.11395549,0.003558825,1e-218,-0.076831157,0.03420496,0.024703579,0.880539324,0.240430591,0.232043787,Behaviour,periphery average speed,0.03550539905135313,1.1338513039155004e-4,0.03528316827940332,0.035727629823302944,3.3343896268101862,8.566295783669631e-4
periphery distance travelled,9162,9163,0.25188707,0.229042094,0.041062534,0.035761561,0.115743385,0.229043085,0.135642233,0.032407409,0.136143685,0.004517854,9.49e-195,-0.094579699,0.043749723,0.030643784,0.856764946,0.305717471,0.305704844,Behaviour,periphery distance travelled,4.1309650799851984e-5,1.091524316955262e-4,-1.726251841483476e-4,2.5524448574805155e-4,0.003953983167267069,0.9968452291421557
periphery permanence time,9518,9499,0.022097333,0.178094822,-0.362396875,0.100483708,0.0186642,0.178106726,0.206265878,0.09137527,0.003433133,0.012680957,0.78660058,-0.568662753,0.122864669,3.71e-6,0.663975972,0.872506575,0.875768201,Behaviour,periphery time,-0.003731360422648829,1.051802259714875e-4,-0.003937509877438729,-0.0035252109678589293,-0.3638313777701602,0.7159879751331442
periphery resting time,6508,6533,-0.03804627,0.329110995,-0.350402056,0.062449842,-0.064016728,0.329112574,-0.281032955,0.058774392,0.025970458,0.007060571,2.35796e-4,-0.069369101,0.079425123,0.382466685,1.04049987,0.400583281,0.405546805,Behaviour,periphery time,-0.012314310740191426,1.533865597282723e-4,-0.012614942872971342,-0.01201367860741151,-0.9942977461762834,0.3200963836347226
shock intensity flinch,72,72,-0.005930513,0.18090802,-3.937796389,2.010398941,-0.041090275,0.162352881,-1.557268616,1.417958716,0.035159763,0.163662428,0.830213953,-2.380527773,2.463979071,0.335656318,0.178440894,1.094186547,0.854548617,Behaviour,shock intensity flinch,0.24719309052931482,0.014084507042253521,0.21958796398649716,0.2747982170721325,2.082886003694349,0.039054929149345385
shock intensity jump,72,72,0.397948587,0.106360906,-1.077425448,1.654346475,-0.397976604,0.111813623,0.597979466,1.568091074,0.79592519,0.15412352000000001,8.2e-7,-1.675404914,2.279448901,0.463575097,0.0076197,0.901299857,0.947599299,Behaviour,shock intensity jump,-0.050093725618105614,0.014084507042253521,-0.07769885216092327,-0.022488599075287958,-0.42209723475455935,0.6735924218681157
shock intensity vocalization,72,72,-0.202541595,0.165318067,-0.517027122,1.404603154,0.256457961,0.193882608,2.587680564,1.899631232,-0.458999555,0.162373489,0.005395533,-3.104707686,2.366341838,0.191673199,0.195232284,0.763733447,1.146297038,Behaviour,shock intensity vocalization,-0.4060732222233095,0.014084507042253521,-0.43367834876612715,-0.37846809568049183,-3.421633789329932,8.132905198177109e-4
side changes,1841,1785,-0.625301542,0.798799679,1.47427662,0.208933192,-0.715452549,0.798777781,0.312109265,0.160580705,0.090151007,0.02806006,0.001326062,1.162167355,0.259787468,7.93e-6,1.382534544,0.887559629,0.800225135,Behaviour,side changes,0.10357406994325885,5.520081887307467e-4,0.10249215377417539,0.10465598611234231,4.408372474597267,1.0717054605979826e-5
time immobile,586,585,-0.215262777,0.259652596,-1.034793962,0.38236854,-0.137184447,0.260649445,-2.057609675,0.41373187,-0.07807833,0.057121233,0.171923885,1.022815713,0.54843173,0.06243487,0.361130405,0.899148726,1.049585518,Behaviour,time mobile,-0.15470362826983294,0.0017108652382624985,-0.15805686251922899,-0.1513503940204369,-3.7401808148797873,1.9280117300080057e-4
time mobile dark side,1841,1785,0.221094003,0.582155096,0.965976271,0.178468756,-0.309421285,0.582397384,0.458582575,0.199110146,0.530515288,0.029413386,1.04e-69,0.507393696,0.263721412,0.054435894,1.007096296,0.752862457,0.996730509,Behaviour,time mobile,-0.28060641035687917,5.520081887307467e-4,-0.2816883265259626,-0.27952449418779574,-11.943313382302046,0
time mobile light side,1844,1789,-0.511760143,0.32793341,0.693827519,0.233628513,-0.365609853,0.327902,-0.269712086,0.184486041,-0.14615029,0.03180413,4.47e-6,0.963539605,0.293481164,0.001036313,0.564808345,0.995595607,0.919932977,Behaviour,time mobile,0.07903199650725005,5.509388568633235e-4,0.07795217619011427,0.08011181682438584,3.367063070094704,7.676375751848319e-4
total number of acquired events in panel a,784,776,0.001348151,0.238042975,0.028226558,0.34845855,-0.042183392,0.2387121,0.134706196,0.342294682,0.043531542,0.045132343,0.334930152,-0.106479638,0.428233669,0.803665647,0.57695279,0.82685504,0.950157271,Behaviour,number events,-0.1390047155002327,0.0012837308944094262,-0.14152078181911656,-0.13648864918134881,-3.8796499006466156,1.089658289652462e-4
total number of acquired events in panel b,787,783,0.084476731,0.222836006,-0.34328479,0.328940501,0.007267749,0.224373204,-0.136981613,0.369070577,0.077208982,0.046536488,0.097295249,-0.206303177,0.436658078,0.636665018,0.539971903,0.770219686,1.050895085,Behaviour,number events,-0.31072501514170037,0.0012755185047799407,-0.3132249854726834,-0.30822504481071733,-8.700272114426731,0
whole arena average speed,9520,9500,0.347988283,0.238457999,0.717716576,0.049760282,0.223816089,0.238461483,0.669183468,0.045841081,0.124172194,0.00631985,4.21e-85,0.048533108,0.061193005,0.427720556,0.891785626,0.431335477,0.439987251,Behaviour,whole arena average speed,-0.019859705845041785,1.0516364559238746e-4,-0.0200658228028858,-0.01965358888719777,-1.9366003015344941,0.05280901562484308
whole arena permanence,9175,9161,0.013907336,0.037809259,-0.238219476,0.110681065,0.004101345,0.038189615,-0.355212309,0.11005207,0.009805991,0.014625688,0.502570797,0.116992834,0.139714243,0.402394269,0.129745074,0.929130314,1.047315462,Behaviour,whole arena,-0.11973654725920801,1.0908700590143209e-4,-0.11995035386195613,-0.1195227406564599,-11.464106703840518,0
whole arena resting time,9515,9495,-0.238742375,0.23370865,-0.397806633,0.056201701,-0.241204101,0.233715555,-0.172581739,0.052653198,0.002461727,0.007199002,0.732389372,-0.225224894,0.069645578,0.001223328,0.873877578,0.485968452,0.506136683,Behaviour,whole arena,-0.040663159813267125,1.0521897170685765e-4,-0.040869385208302904,-0.040456934418231345,-3.964186669343143,7.391597122641258e-5
cone b-wave amplitude-left,93,95,-0.783269505,0.909569188,0.047184215,1.298498781,-0.790647238,0.906556508,-0.142230826,0.760585521,0.007377733,0.136363592,0.956911807,0.189415041,1.482280113,0.898458433,1.26304071,1.059830867,0.786841681,Eye,cone b-wave amplitude,0.2979531881587932,0.010753931544865866,0.2768758696386469,0.31903050667893945,2.87319037575227,0.004536150305885833
cone b-wave amplitude-right,93,95,-0.796567043,1.007674036,-0.450286748,0.946879618,-0.964598125,1.009348021,-1.772567032,0.914679835,0.168031082,0.126205449,0.184710579,1.322280284,1.293270303,0.30792641,1.40943542,0.766403076,0.955577007,Eye,cone b-wave amplitude,-0.2204914799483878,0.010753931544865866,-0.24156879846853407,-0.19941416142824153,-2.126219900642423,0.034803738391535166
cone b-wave implicit time-left,93,95,0.941595409,0.894960042,1.508110643,1.234006292,0.610766092,0.89269006,-1.400455232,0.772478101,0.330829317,0.13275781,0.01359268,2.908565875,1.43292788,0.04382424,1.243209864,1.006139358,0.800151998,Eye,cone b-wave implicit time,0.2291897944565313,0.010753931544865866,0.20811247593638502,0.2502671129766776,2.210098558509795,0.02831828855015095
cone b-wave implicit time-right,93,95,0.897714464,0.755614935,1.0836706,1.23740745,0.397223408,0.753044545,-0.712635304,0.785544748,0.500491055,0.133870077,2.47266e-4,1.796305905,1.442690527,0.214683972,1.041678448,1.008848219,0.814150311,Eye,cone b-wave implicit time,0.21453520935158904,0.010753931544865866,0.19345789083144277,0.2356125278717353,2.068783027891198,0.03994949804172654
eye size-left,93,95,1.436493199,1.809533592,0.383957925,0.647721672,1.791326511,1.809539487,0.707993261,0.510125792,-0.354833312,0.077050301,7.69e-6,-0.324035336,0.809713457,0.689486874,2.555440492,0.525882974,0.530553497,Eye,eye size,-0.008726456803572265,0.010753931544865866,-0.02980377532371854,0.01235086171657401,-0.08415003664629121,0.9330276431092592
eye size-right,93,95,1.644784967,2.029975881,-0.072376993,0.762542047,1.969779417,2.029482485,0.213428157,0.435567813,-0.32499445,0.079362665,6.33e-5,-0.28580515,0.86493505,0.741448999,2.86726783,0.622441889,0.450090654,Eye,eye size,0.3243168908411952,0.010753931544865866,0.3032395723210489,0.34539420936134146,3.127418018974876,0.0020471424825942997
interpupillary distance,202,201,-0.101689837,0.311713325,0.721034628,0.850909965,0.538373421,0.310606517,1.439151638,0.638796711,-0.640063258,0.087713681,1.61e-12,-0.718117011,1.047524065,0.493404919,0.509604626,0.919711104,0.839349983,Eye,interpupillary distance,0.09141940301239647,0.004987562189054726,0.08164396075119545,0.10119484527359748,1.2944766441385436,0.19624575197006155
left anterior chamber depth,118,120,0.143993326,0.329154625,3.570408041,1.054566044,0.562490443,0.323362086,1.167090101,0.577281184,-0.418497117,0.091086562,7.16e-6,2.40331794,1.122771749,0.033369454,0.748363367,0.801458399,0.570397443,Eye,left anterior chamber depth,0.3401715041026926,0.008475184945773182,0.32356044684666113,0.35678256135872405,3.6950756839903374,2.7326885972622783e-4
left corneal thickness,118,120,-0.13383953,0.266168121,-0.206866382,1.164907203,-0.184689672,0.258161084,0.345936524,0.660286017,0.050850142,0.101695559,0.617538857,-0.552802906,1.247998773,0.658218968,0.564483718,0.883836929,0.65406353,Eye,corneal thickness,0.30113991235315024,0.008475184945773182,0.2845288550971188,0.3177509696091817,3.2710992960750445,0.0012314521360412556
left inner nuclear layer,133,135,0.694109159,0.343313956,0.977922141,0.910713394,0.619959775,0.342135404,0.260031232,0.756471064,0.074149384,0.095300534,0.437244746,0.717890909,1.083786715,0.508309449,0.769357474,0.719935112,0.815986526,Eye,inner nuclear layer,-0.12518022134195217,0.007519222071460878,-0.13991762579377415,-0.11044281689013019,-1.4436079312663606,0.15002597251507876
left outer nuclear layer,133,135,-0.062644465,0.554952621,0.101094723,0.695345885,-0.062353645,0.55400711,-0.072631144,0.531868566,-2.9082e-4,0.069522372,0.996665587,0.173725866,0.801464417,0.828565599,1.334178951,0.552795997,0.567101159,Eye,outer nuclear layer,-0.02549213213455178,0.007519222071460878,-0.04022953658637376,-0.010754727682729802,-0.2939812994402803,0.7690014551059412
left posterior chamber depth,84,82,-0.592409773,0.756836382,-0.66935071,1.871810893,-0.622289415,0.753896764,-1.206583434,0.901617975,0.029879641,0.143831913,0.835694529,0.537232725,2.079945182,0.796511627,1.048052247,1.073701563,0.748211672,Eye,posterior chamber depth,0.36103269713299735,0.012196935891715008,0.33712714206349204,0.38493825220250266,3.2690470049133995,0.0013148536090574758
left total retinal thickness,1280,1321,-1.303387291,0.381548567,0.306949728,0.295995139,-1.268231134,0.381139947,-0.266742297,0.176535289,-0.035156157,0.029787278,0.238012882,0.573692025,0.340833451,0.09245624,1.049576597,0.844754018,0.657640781,Eye,total retinal thickness,0.2503987678336996,7.69718293174118e-4,0.24889014770083667,0.2519073879665625,9.02539635745939,0
left vitreous humour thickness,38,45,-0.672861975,0.333131462,-5.34020314,2.287384762,-0.105489984,0.310156729,2.607152039,1.84254619,-0.567371991,0.20512846,0.007121917,-7.947355179,2.936111206,0.00838626,0.45510841,0.938780324,0.891692552,Eye,vitreous humor thickness,0.053609981715465604,0.024877149877149878,0.004851663918246825,0.10236829951268439,0.3398954475106924,0.7348150776764331
