parameter_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,group_sd,g_slope_sd,batch_sd,f_sd,m_sd,Category,parameter_group,lnVR,VlnVR,low_lnVR,high_lnVR,t_val_sd,p_val_sd
conditioning baseline freezing time,222,268,-0.319255856142814,0.531620396595712,-0.954122566297348,0.775286064799444,-0.273560257369462,0.531118926507235,-0.8579424567185,0.746560410219847,-0.0456955987755595,0.0794876497440527,0.565710458285733,-0.0961801096547905,1.05725052822145,0.927562215225202,0.74385478,0.05281735,0.46627835,0.701917566170698,0.73973474,Behaviour,conditioning freezing time,-0.052079379883364876,0.004169897475661238,-0.06025222875488539,-0.043906531011844364,-0.8064976676745195,0.42034880806832353
conditioning post-shock freeze count,287,326,-0.0674394845670592,0.32304054658691,-1.56665073447679,1.0752722942947,-0.138254550062035,0.321772112504741,-1.955362828675,1.00491374780352,0.0708150654925968,0.0826934384838316,0.392207566948185,0.388712094171157,1.07414028811873,0.71759184313384194,0.4456632,0.9913719,0.3640848,0.8956638,0.828830380750067,Behaviour,conditioning freeze count,0.07776216796718115,0.0033085509963807613,0.07127752717326075,0.08424680876110155,1.3519151766115387,0.17690267408162796
conditioning post-shock freezing time,287,326,-0.119645022651275,0.507338401088645,-1.1619965606931,0.839900883949027,-0.216144199150293,0.506694471748116,-1.48994565031728,0.773442965421221,0.096499176507362,0.0756117544860349,0.202456469451364,0.327949089505437,0.968912863714087,0.735149089726403,0.7111181,0.5813479,0.3823989,0.7892951,0.736164779929672,Behaviour,conditioning freezing time,0.06989886498262843,0.0033085509963807613,0.06341422418870803,0.07638350577654883,1.2152096433039006,0.22475550703399305
conditioning tone freeze count,242,248,0.0791544803713285,0.164360689919241,-1.23854807085871,1.06145980124763,-0.0329142910615848,0.165440624060619,0.120890215590348,1.07882938315168,0.112068771428556,0.0937624411783495,0.23273027591714,-1.35943828662703,1.25206770155994,0.278268695348612,0.2104905,0.838834,0.2612186,0.9243363,0.98373939833484,Behaviour,conditioning tone freeze count,-0.06223382254001135,0.004132866535735634,-0.07033409210296401,-0.054133552977058685,-0.9680566815232596,0.3334955827192567
conditioning tone freezing time,242,248,0.057441287389037,0.0761187722795663,-1.57888337961391,0.913584307152113,-0.0967288899745385,0.0725656825259764,0.585428358481786,0.886622388196635,0.15417017736348201,0.095319577333544,0.106612417836941,-2.1643117380983,1.25893447586935,0.0863908349944444,0.001317782,0.018430824,0.35608836,0.929709477,0.931431914657658,Behaviour,conditioning tone freezing time,-0.0017997143119505533,0.004132866535735634,-0.009899983874903213,0.006300555251002107,-0.027994832928616237,0.9776777167523356
context freeze count,291,333,-0.094302923828028,0.371438227184275,-1.54902281161729,1.51871305558554,-0.0999730740666398,0.370926513003078,-1.83552255228272,1.49480536255252,0.00567015022799414,0.0787311591865938,0.942614637251615,0.286499740809252,1.04412321427637,0.783892916821405,0.517878,1.8525157,0.2481822,0.8888193,0.884604203891044,Behaviour,context freeze count,0.004974594626845339,0.0032512626262626264,-0.001397763024910517,0.011346952278601195,0.08724321683936972,0.9305062667109341
context freezing time,291,333,-0.186721578038934,0.682169578493368,-1.1444208892033,0.751402974894328,-0.214068349700326,0.681966953769643,-0.617499538628931,0.721497542709934,0.027346771614944,0.0647393085133448,0.672899369054297,-0.526921352778381,0.843073133804225,0.532247373498971,0.9617568,0.599024,0.2616252,0.696217,0.692664837937486,Behaviour,context freezing time,0.005336110086960681,0.0032512626262626264,-0.0010362475647951756,0.011708467738716536,0.09358338604781602,0.9254702437035103
cue baseline freeze count,281,319,-0.00941411386396315,0.490101858471243,-2.02715467044615,0.917691134037221,0.206057929266654,0.489890397602373,-1.40518764217713,0.921558121426921,-0.21547204313189,0.0807208861694283,0.00785108615465196,-0.621967028297007,1.01868831723345,0.541774992631416,0.6857282,0.7891867,0.4329785,0.763536351542332,0.8242778,Behaviour,cue baseline freeze count,-0.07633059110661626,0.0033808396320917948,-0.08295691502302183,-0.0697042671902107,-1.3127630377632145,0.18976637716373412
cue baseline freezing time,281,319,-0.105744296432133,0.185214700897115,-2.24935409938004,0.770342868635583,0.112303064960063,0.185103440935168,-2.04815074986616,0.812918775307758,-0.218047361420837,0.0878434287595539,0.0133889517505593,-0.201203349478781,1.1016121608466,0.855152237528469,0.23754617,0.06808334,0.49291724,0.7963838,0.913405224942335,Behaviour,cue baseline freezing time,-0.136882107940479,0.0033808396320917948,-0.14350843185688456,-0.13025578402407345,-2.3541514513412403,0.018887529312664242
dark side time spent,1841,1785,-0.274509473326896,0.643072295518434,0.632513854348545,0.702694344279685,-0.647152203282343,0.643390661983085,0.987001595441565,0.714721855069942,0.372642729189859,0.0305247482043673,1.49256115712537e-33,-0.354487726075339,0.27084321958415,0.190683668190381,1.11260939,1.16661245,0.00291986,0.716347650441941,1.07887843,Behaviour,time spent,-0.409520244134222,5.526184343739658e-4,-0.4106033563627879,-0.4084371319056561,-17.420583252845685,0
distance travelled - total,9078,9053,0.238130903749208,0.247990446843081,-0.0201757438740603,0.167236131232085,0.10035726106673,0.24799018988183,0.0156282734527422,0.166497547113122,0.137773642676088,0.00449134536090782,8.32241852432309e-201,-0.0358040174788415,0.0418306334291476,0.392050424723285,0.927535,0.5850257,0.1139913,0.279606842981782,0.2662997,Behaviour,distance travelled - total,0.04876196577363821,1.1034503751731276e-4,0.04854569347423156,0.04897823807304487,4.641996428400625,3.4747642594368244e-6
forelimb and hindlimb grip strength measurement mean,12441,12481,0.307329053075723,0.179061604160972,1.66648996289947,0.17961689555885,0.566714058107114,0.179066910795459,1.57598970325338,0.177778648950637,-0.259385005088962,0.0074678498925601,2.28965884121877e-257,0.0905002602214052,0.071830137549162,0.207711475326545,0.643216,0.5708159,0.4932265,0.516357130947991,0.5300498,Behaviour,limb strength,-0.026172195210044786,8.026991309174319e-5,-0.026329521348746762,-0.02601486907134281,-2.9212165639234082,0.0034898013654305338
forelimb and hindlimb grip strength normalised against body weight,12434,12470,0.621668785691531,0.155170329425139,-1.78208313030741,0.140407053436675,0.134762452060753,0.1551750482935,-1.90176652673094,0.138659152361799,0.486906333575506,0.0065262745870598,0,0.119683396440313,0.0627769960129126,0.0566003988258181,0.5573817,0.4323409,0.4297284,0.4508747,0.463826191520479,Behaviour,limb strength,-0.02832030481392793,8.032790510314618e-5,-0.028477744614883647,-0.028162865012972212,-3.15983716550169,0.0015804618673476156
forelimb grip strength measurement mean,12446,12495,0.237440148938557,0.19079375945398,1.43938397807166,0.184695358730207,0.500962847049301,0.190794464491512,1.22824198106726,0.182305892025856,-0.263522698014492,0.00780813753886506,1.79169899897609e-243,0.211141997219655,0.0752290499301022,0.00501029517335616,0.6854064,0.5849926,0.5242848,0.550115511045794,0.5441657,Behaviour,limb strength,0.010874637813448388,8.020885194861929e-5,0.010717431352387789,0.011031844274508987,1.2142375279716204,0.22466853137608678
forelimb grip strength normalised against body weight,12439,12484,0.531148625382733,0.179818784778935,-1.52820560589523,0.150610671098758,0.142360554101053,0.179819446458144,-1.76033558477224,0.148173113469573,0.388788071286157,0.00718564571263729,0,0.232129978333822,0.0692400078173709,8.0208821189745e-4,0.6461024,0.4601113,0.4823225,0.5059122,0.501339637902644,Behaviour,limb strength,0.009079490040085682,8.026674652902453e-5,0.008922170107732589,0.009236809972438776,1.0134296972360834,0.31086479938787015
hot plate latency,72,72,-0.106705323295392,0.239184359895826,-2.28628503271729,2.59404917241156,0.196515880033044,0.227971877647914,-0.456134036427178,2.22344429106506,-0.303221203324734,0.162273475268838,0.0640600084879076,-1.83015099622275,2.43176741582942,0.453127554159228,0.2869242,2.3891007,0.0255942,1.0696871106604,0.8616778,Behaviour,hot plate latency,0.21624004586207876,0.014492753623188406,0.1878347707238171,0.24464532100034042,1.7962247250764425,0.07458478252170364
latency to center entry,6216,6263,-0.132486998727757,0.137764807189327,0.0928676355239484,0.247557140884476,-0.102015569516251,0.137783379429743,-0.0403413095762608,0.24544332437435,-0.0304714292440441,0.0174443582769495,0.0807037423724259,0.133208945650973,0.185263468384831,0.47214121995972,0.4296447,0.5604732,0.3543944,0.8533057,0.880289673220723,Behaviour,latency to center entry,-0.031132557736197913,1.6034862488166366e-4,-0.031446835265936494,-0.03081828020645933,-2.4585677598658116,0.013962729185857281
latency to fall mean,1091,1125,0.213598109912241,0.0412858840194995,-0.839866762637242,0.370209713090613,-0.200798168339101,0.0434043543077752,-0.62231195112859,0.37478973148488,0.41439627807716,0.0390914307820787,1.3234769816550598e-25,-0.217554812362317,0.489113592007893,0.656515101787547,0.01965182,0.10838561,0.33900498,0.84595436,0.976847076954161,Behaviour,latency to fall mean,-0.14385078052977687,9.051916221033868e-4,-0.1456249235082069,-0.14207663755134683,-4.781255585359499,1.8565421824323636e-6
latency to first transition into dark,1826,1782,-0.835715809222516,0.509896673816851,0.0497612706553603,0.326083713943252,-0.651206952917391,0.509934345841201,-0.0901091591468457,0.307633576793101,-0.184508856304523,0.0280809385545396,5.8112277024637493e-11,0.139870429798966,0.26106172176039,0.592150373803264,0.8799855,0.3646284,0.3266754,0.835186102646199,0.8386187,Behaviour,latency to first transition into dark,-0.004108339717334448,5.553299495516196e-4,-0.005196766417992067,-0.0030199130166768283,-0.17433749443409643,0.8616100207373987
latency to immobility,586,585,0.681061006950907,0.957236795207818,-0.196187816237083,0.493136549946158,0.676173264609133,0.957222607401451,-1.22494518482864,0.480608581852698,0.00488774243206368,0.0360332975302013,0.892127197296597,1.02875736937731,0.35836685169513,0.00417618565418173,1.351534,0.5515262,0.3055691,0.6245023,0.60636493773368,Behaviour,latency to immobility,0.02947152661262814,0.0017167394623142532,0.026106779095653548,0.03283627412960273,0.711296116490683,0.47704265978904514
learning difference,609,585,-0.292128866534979,0.386583464997009,-0.622376584556017,0.432371426323836,-0.371555574824226,0.387359075255168,-0.168933763188541,0.440037190348364,0.0794267082933467,0.0569371136578792,0.163302752282454,-0.453442821345547,0.610394754258786,0.457721431766924,0.538632348,0.004892723,0.088820663,0.926711950031115,1.032929441,Behaviour,learning difference,-0.10854540210795731,0.001684189037460447,-0.11184635196453696,-0.10524445225137766,-2.644941152018429,0.00827791174858783
learning slope,616,593,-0.376992790547757,0.464907357486439,-0.501562170546911,0.613802805717129,-0.431629858456036,0.465180600751633,0.18690099936328,0.578638319408757,0.0546370683841411,0.0557288671557511,0.32709880279195,-0.688463179244749,0.605558598636903,0.255823858440546,0.6500151,0.5327391,0.1379232,0.969255696855509,0.9640975,Behaviour,learning slope,0.005304226608278071,0.0016631183122736196,0.002044574614192738,0.008563878602363403,0.13006501550617214,0.8965366605734992
light side time spent,1844,1791,-0.910493298978919,0.71669922839523,-0.00874866669574435,0.216585233982007,-0.561416437985477,0.716714368587833,-0.291662133916365,0.185299716529659,-0.34907686104731,0.0265579488745505,1.69430025914707e-38,0.282913468017562,0.247573115677959,0.253226796264623,1.2396858,0.0503893,0.2752959,0.806907081624407,0.783473,Behaviour,time spent,0.02946387016949183,5.512335845099261e-4,0.028383472196783457,0.030544268142200202,1.2549370963485402,0.20958231605679978
locomotor activity,9480,9524,0.213463513016572,0.127590225053009,0.417283746834297,0.183404045879323,-0.0520893526950634,0.127646720986035,-0.1349819461572,0.1842297961171,0.265552865679126,0.0132432747407049,2.21371890755837e-88,0.552265692968355,0.121049759168657,5.09616762182828e-6,0.4304409,0.4662836,0.4604518,0.723695394519999,0.8548614,Behaviour,locomotor activity,-0.16656852865849764,1.0527480408873197e-4,-0.16677486348299106,-0.16636219383400422,-16.234193890142677,0
ma threshold inducing clonic seizure,788,750,-0.489864362204353,0.074172138002193,0.626456043859607,0.335573685877871,0.480469359406132,0.0740006579467007,1.44003512068111,0.325760758771445,-0.970333721610536,0.0324775962255421,2.5982976490361196e-147,-0.81357907682119,0.370030714414048,0.0280897562084354,0.06753978,0.23014407,0.87706403,0.581307576388959,0.58712416,Behaviour,ma threshold inducing clonic seizure,-0.009988706864490283,0.0013062867179972544,-0.012548981785247932,-0.007428431943732635,-0.27636943626733956,0.7823015102171207
percent time in dark,1841,1785,0.180393839717667,0.0283748272552809,0.516031131694822,0.851852461322178,-0.177259763104937,0.0355946166500213,0.821091963336399,0.868152390177848,0.357653602965158,0.0328158232202405,3.39805040481681e-27,-0.305060834010303,0.29064067166692,0.29397247004163,0.036776295,1.400012598,0.001440005,0.753299301248403,1.170826459,Behaviour,percent time,-0.44101107518958166,5.526184343739658e-4,-0.44209418741814754,-0.4399279629610158,-18.76017183719266,0
percent time in light,1835,1784,-0.479584895967707,0.367696851484571,-0.0932782732111681,0.248896104216183,-0.0958696019828083,0.36763745135291,-0.0749437624300088,0.19775334661649,-0.383715293997464,0.0306668271763616,4.01539916017354e-35,-0.0183345108333078,0.287786428580889,0.949206036742635,0.63288749,0.01958125,0.27098242,0.96727778,0.86565831260941,Behaviour,percent time,0.11098762585924601,5.536669208457052e-4,0.10990245863495725,0.11207279308353478,4.716830530839798,2.485984403666208e-6
percentage center time,9160,9152,-0.116620661209249,0.187584952991776,-0.194583520700405,0.158653896092931,-0.0798704878925401,0.187547459445721,-0.223544569015396,0.149069580367466,-0.0367501733055427,0.0126389262439789,0.00364598111182274,0.0289610497810666,0.115463074422093,0.801952454641095,0.6972349,0.3901959,0.4384891,0.799098,0.706653081098764,Behaviour,percentage center time,0.12294368986313126,1.0925381743497318e-4,0.1227295563157852,0.12315782341047732,11.762183026822024,0
percentage of live gated events in panel a,762,754,-0.134673696910446,0.449069453382661,-0.433831875465253,0.108399929868981,-0.0274517777700369,0.449070735490489,-0.00672643126850319,0.099968064268449,-0.107221919132167,0.0100802366875256,2.59557058598068e-25,-0.427105444190441,0.101510842524887,2.77492806345874e-5,1.0970527,0.1327935,0.4338174,0.184765332952059,0.1819755,Behaviour,percentage of live gated events,0.015207469295419747,0.001324540489711566,0.012611417639520032,0.01780352095131946,0.4178537739031402,0.6761132853386504
percentage of live gated events in panel b,762,759,-0.0786483925682096,0.477816954267391,-0.406974338243311,0.102484816974825,0.0187293787814675,0.477823442639096,-0.0285212559856931,0.0939861216417015,-0.0973777713508747,0.0112564254031596,1.6120812395957902e-17,-0.378453082262765,0.112549061244441,7.9653432412127e-4,1.167601066,0.004652816,0.435924647,0.201883290079331,0.208815078,Behaviour,percentage of live gated events,-0.03376192163579219,0.001320137189702407,-0.03634934298226083,-0.031174500289323552,-0.9292180227511079,0.35292374569225315
periphery average speed,8817,8824,0.341168120014299,0.236174416331489,-0.0188645610691811,0.101059500001477,0.220956960329162,0.236173709083179,0.012985781078683,0.100286553436377,0.120211159671552,0.00364966611828176,5.059777278103479e-230,-0.0318503425503371,0.0336806352703338,0.344338101985798,0.88345288,0.33759229,0.08408531,0.22691559,0.21506385451034,Behaviour,periphery average speed,0.05364316136968506,1.134108486033147e-4,0.05342088019096644,0.05386544254840368,5.037175290657053,4.771162553929287e-7
periphery distance travelled,9162,9163,0.266391948297583,0.228889771544063,0.0899421267713741,0.169239236776879,0.126417471155873,0.228890858221525,0.132101402348023,0.168784597321408,0.139974477141833,0.00460494295733275,2.2982531643648198e-197,-0.0421592755751004,0.0426939105663006,0.323423504029254,0.8560125,0.5910374,0.1175088,0.2825419,0.28304425797817,Behaviour,periphery distance travelled,-0.0017764098990734163,1.0917626540530206e-4,-0.0019903914472343947,-0.001562428350912438,-0.17001180077942704,0.8650027330502605
periphery permanence time,9518,9499,0.0212521746422014,0.16841439498856,-0.110741904413648,0.198045121472839,0.04249433298787,0.168437918918498,0.306717713978379,0.195559866826519,-0.0212421583456683,0.0122752339575478,0.0835614475373775,-0.417459618392028,0.111995096060841,1.9404276690855e-4,0.6246725,0.5559105,0.4721501,0.727462,0.752692038624772,Behaviour,periphery time,-0.03409450603213907,1.0520235640882727e-4,-0.034300698861789124,-0.03388831320248902,-3.3240815427122885,8.887786352942406e-4
periphery resting time,6508,6533,-0.0503105604505855,0.330286171009926,-0.27332454269689,0.18394035895410701,-0.072693086672706,0.330287584289609,-0.055189611295445,0.183727562513496,0.022382526226207,0.00732489621168072,0.00225063447510957,-0.218134931305238,0.0769209815019817,0.00457858880758024,1.0439032,0.5248613,0.1788698,0.352555863600461,0.3686493,Behaviour,periphery time,-0.044636403346293825,1.5343362921442218e-4,-0.044937127733571364,-0.044335678959016286,-3.60353640983194,3.1508573709837506e-4
shock intensity flinch,72,72,-0.0238579331160654,0.175050687328353,-3.48500330783276,2.07267434058338,-0.0613834588981196,0.1553439103633,-1.46866824073164,1.48145224681377,0.0375255257689373,0.16130269743426,0.816427309787522,-2.01633506720507,2.49110194611716,0.419839554813872,0.1546143,0.5540887,0.1823628,1.0803664,0.835308583948888,Behaviour,shock intensity flinch,0.2572543036468985,0.014492753623188406,0.22884902850863686,0.28565957878516013,2.1369147375116992,0.034318554104050936
shock intensity jump,72,72,0.369319454719133,0.131573611061842,-1.14797061741881,2.08746094628316,-0.415916958654518,0.141758442016022,0.0929658778622549,2.08795093467855,0.785236413371593,0.145593623845378,3.40376013987028e-7,-1.24093649535697,2.28300660148255,0.587732490335274,0.0510725,1.8435183,0.3284512,0.799148,0.931011190831456,Behaviour,shock intensity jump,-0.15272513727949708,0.014492753623188406,-0.18113041241775873,-0.12431986214123543,-1.2686302697933094,0.20664870700341997
shock intensity vocalization,72,72,-0.0165166606246516,0.201298675266411,1.64913134797397,2.64015988173055,0.29773665819797,0.207584106721111,2.58417310873903,2.65118258480788,-0.314253318828276,0.130107121309141,0.0171914478798317,-0.935041760729,2.10676569029299,0.657946681178308,0.07462323,3.05421852,0.72911841,0.6897003,0.84079600410644,Behaviour,shock intensity vocalization,-0.19809191165260845,0.014492753623188406,-0.2264971867908701,-0.1696866365143468,-1.6454750003846164,0.1020836377923049
side changes,1841,1785,-0.617962406268601,0.787712567909003,1.23716003068305,0.344209041815319,-0.703414374163497,0.78768514461213,-0.0156445465955776,0.317134259884488,0.0854519679099943,0.0270044829016313,0.0015684594164396,1.25280457707808,0.253485517689261,8.10719886729939e-7,1.3628384,0.4142405,0.2491574,0.8569135,0.757567109401586,Behaviour,side changes,0.12321630449248486,5.526184343739658e-4,0.12213319226391897,0.12429941672105074,5.241498854488355,1.6837225769172903e-7
time immobile,586,585,-0.164976397143874,0.142208841202077,-0.312974715431463,0.78691032901578,-0.0855467659987606,0.143670425157515,-0.621453913603165,0.798208603748348,-0.0794296306279439,0.0484640724459697,0.101518687664193,0.308479197360293,0.481975224745214,0.522288676211715,0.1729049,0.9513627,0.567722,0.7686092,0.880695287548687,Behaviour,time mobile,-0.13613052071685838,0.0017167394623142532,-0.139495268233833,-0.13276577319988378,-3.28551391295305,0.0010481736369558625
time mobile dark side,1841,1785,0.215529042039803,0.530479172454714,0.939104770622768,0.592210406015041,-0.317295172416448,0.530739859249661,0.337185869991969,0.599787790908541,0.532824214574714,0.0280739696157429,2.69909698880446e-76,0.601918899479618,0.254428363470757,0.0180504897499233,0.9167515,0.9582646,0.288486,0.691500131359503,0.9620351,Behaviour,time mobile,-0.3301961442121146,5.526184343739658e-4,-0.33127925644068046,-0.3291130319835487,-14.046215058737047,0
time mobile light side,1844,1789,-0.543241692309084,0.355759948457991,0.751379554758123,0.261683590849573,-0.387318557930831,0.35569071386156,-0.281763023077513,0.213541334488939,-0.15592313430949,0.0300934106915846,2.33623754123013e-7,1.03314257695206,0.282765700030547,2.6252105283995e-4,0.61132114,0.08856505,0.35382952,0.953161015473982,0.84451138,Behaviour,time mobile,0.12101727054154421,5.515467335112313e-4,0.11993625880807149,0.12209828227501693,5.15295316359046,2.700752332884804e-7
total number of acquired events in panel a,784,776,-0.0404169966204808,0.237412566848179,0.151393906718994,0.201087826149863,-0.0593903958760796,0.237978280618639,-0.0968917348283504,0.22558672468075,0.018973399252939,0.0260019641193053,0.465717566920596,0.248285641531643,0.251534760327353,0.323795535961853,0.56515655,0.01374039,0.76287813,0.356728391321443,0.58236657,Behaviour,number events,-0.49013203689329304,0.001287035395958013,-0.492654579916199,-0.4876094938703871,-13.662112118913107,0
total number of acquired events in panel b,787,783,0.060946773810764,0.233693342373948,0.226270825303389,0.156530627678157,-0.00768948558309491,0.234847965628476,-0.0211761689310917,0.249944606127965,0.06863625939607,0.0282723566818122,0.0153370675334959,0.247446994287362,0.260932459237153,0.343151976231425,0.55665322,0.03454909,0.75683236,0.246581776892194,0.70734048,Behaviour,number events,-1.053821714106204,0.0012787807430664573,-1.0563280783067377,-1.0513153499056704,-29.46925109147908,0
whole arena average speed,9520,9500,0.396940182613027,0.223663685699354,0.310265656455676,0.240881758677411,0.265664487902396,0.223666090317842,0.151890271617667,0.240402280432538,0.131275694356517,0.00533571984408985,2.5486553882437895e-131,0.158375383570117,0.0479216530543197,9.5217102270694e-4,0.8352773,0.8554819,0.3362959,0.3090303,0.311695144940727,Behaviour,whole arena average speed,-0.00858639088514601,1.051857690547362e-4,-0.00879255120417944,-0.00838023056611258,-0.8372056720872535,0.40248748992982497
whole arena permanence,9175,9161,-0.00418608170107459,0.0491891793372271,-0.055059460624384,0.138073402940814,0.0012592799086645,0.0494217728880724,-0.116895183335356,0.138087374329612,-0.0054453615643658,0.0138315602949473,0.693814358122031,0.0618357227261383,0.123885384130132,0.617690010929786,0.1610327,0.3042869,0.6516743,0.7431078,0.871448903206491,Behaviour,whole arena,-0.15931619404171585,1.0911081105869559e-4,-0.15953004730171486,-0.15910234078171684,-15.2519731068528,0
whole arena resting time,9515,9495,-0.210848931787402,0.228885457272653,-0.0910137854027708,0.118540871719574,-0.230011985660324,0.22888078168525,-0.231909173427396,0.116453069767437,0.0191630538848669,0.0052811081699977,2.8580959217954e-4,0.140895387847272,0.0476915872566194,0.00313814657107679,0.8545765,0.3755582,0.375834,0.3266983,0.285306198154412,Behaviour,whole arena,0.1354740212607988,1.0524111845591189e-4,0.1352677524589325,0.1356802900626651,13.20575679078165,0
