parameter_name,procedure_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,f_sd,m_sd,r_m,r_c,Category,parameter_group,lnVR,VlnVR,low_lnVR,high_lnVR,t_val_sd,p_val_sd,Zr,VZr,SMD,v_SMD,lnRR,v_lnRR
conditioning baseline freeze count,Fear Conditioning,291,333,1.1929092787739095,0.3911517613886126,-0.1234196320361779,0.12358575186805772,1.533972950231326,0.3879388671450598,-0.18431337741456424,0.1268607349223597,-0.34106367145704075,0.1574600326069108,0.03076676770322248,0.06089374537774855,0.15329616101911328,0.6913628616070859,0.7766871761850882,0.85372494,0.08027024648325493,0.6742416939993664,Behaviour,conditioning baseline freeze count,-0.09435043335494668,0.00325126262626262,-0.10072279100670252,-0.08797807570319083,-1.6546946904282962,0.0984909162182439,0.08044331816393238,0.00161030595813204,-0.16462488981190565,0.00646114494864404,-0.17940240487744197,0.007612748700217731
conditioning baseline freezing time,Fear Conditioning,291,333,1.063693865527926,0.7763816777925286,-0.1456472003972071,0.16528055477346987,1.4295470603843077,0.7737159846465282,-0.20344670580999877,0.17253875696131393,-0.3658531948566291,0.21768053073627855,0.09342976797752452,0.05779950541023151,0.21163677620636753,0.7848803731509759,1.044914064940343,1.17093994,0.05491771987313371,0.7739505017186269,Behaviour,conditioning baseline freezing time,-0.11365118667962934,0.00325126262626262,-0.1200235443313852,-0.10727882902787347,-1.9931865543445129,0.04667741349248588,0.0549730298031879,0.00161030595813204,-0.12835432885495277,0.006452630108411848,-0.18810925579208457,0.013701489944159834
conditioning baseline maximum motion index,Fear Conditioning,168,238,6.953502827806831,0.07447045890185963,0.16747446162242582,0.05820720332398393,6.797958083132883,0.05527855995713762,0.01950297862208053,0.05263455268560559,0.1555447446738781,0.0813037726545872,0.05659648912973897,0.1479714830001707,0.07668696825967666,0.0545194142127762,0.30550102581538197,0.3349078,0.12780448975784614,0.6598783272628482,Behaviour,conditioning baseline maximum motion index,-0.09099949017708804,0.00515796260477111,-0.10110891111604384,-0.08089006923813227,-1.2670678300002287,0.20586095714967323,0.12850724229079483,0.00248138957816377,-0.27302159678736804,0.010245860629960602,-0.10475295930300633,0.001446128494540707
conditioning post-shock % freezing time,Fear Conditioning,168,238,3.0818653722043337,0.13962825853441535,-0.2259029028113291,0.11239995210064067,3.374722310908509,0.0969106561299085,-0.11395951314082468,0.0948784290257756,-0.29285693870428386,0.15375184720683666,0.057683400256796,-0.11194338967065807,0.14392861685772104,0.43726173795118406,0.6048890839089337,0.6061758,0.11037291805162648,0.6067091804476844,Behaviour,conditioning post-shock freezing time,-0.00122229071132075,0.00515796260477111,-0.01133171165027654,0.00888713022763503,-0.01701905402116819,0.9864298166654796,0.11082441711089608,0.00248138957816377,0.1617213658392252,0.010186270738158362,0.09763831974117358,0.0037486334169539396
conditioning post-shock average motion index,Fear Conditioning,168,238,4.192838775805018,0.17923972001396246,0.2909888965699543,0.14002712797156128,3.838633533185046,0.12061533964530936,0.1262876117433585,0.1070791514521542,0.35420524261994674,0.18658213783798225,0.05851726619823941,0.16470128482645666,0.1721487558623929,0.339399791173974,0.7496077972312715,0.6490194,0.1079649725335632,0.7026911198596391,Behaviour,conditioning post-shock average motion index,0.1449901677828816,0.00515796260477111,0.1348807468439258,0.15509958872183738,2.0188286429573883,0.04416515743824822,0.1083874266507547,0.00248138957816377,-0.2579495483892517,0.010236004936859487,-0.21673322698896846,0.006642269496808464
conditioning post-shock freeze count,Fear Conditioning,291,333,2.4912996618500274,0.2398401102529099,-0.220116979715051,0.0854728891387289,2.756887113762821,0.23522430671747244,-0.16755398634432744,0.08075863306465755,-0.26558745192634187,0.11506772308271232,0.02138909575171884,-0.05256299338424546,0.1121018741132905,0.6393495793854697,0.6259040955727748,0.62047315,0.1372843970239561,0.5597663797883417,Behaviour,conditioning post-shock freeze count,0.00893578484579171,0.00325126262626262,0.00256342719403585,0.01530814249754757,0.15671359646559554,0.875521423460889,0.13815674982500098,0.00161030595813204,0.04590299424201224,0.006441117489136669,0.023716065423243882,0.0017277253663837062
conditioning post-shock freezing time,Fear Conditioning,291,333,2.9607658948696796,0.5291496410702604,-0.2672918716187179,0.12299115883939882,3.2309523284199932,0.5252200494287002,-0.20894062467662283,0.1169762015015891,-0.27018643355423805,0.15649223007022237,0.0848542070036959,-0.05835124695013966,0.1519566725956446,0.7011374994878279,0.8335707958130592,0.82058899,0.11706104957222714,0.7214259700799522,Behaviour,conditioning post-shock freezing time,0.01591723326172072,0.00325126262626262,0.00954487560996486,0.02228959091347657,0.2791525213815785,0.7802205692584878,0.11760019655955407,0.00161030595813204,0.012047494448698385,0.006439545419619128,0.009237020285075738,0.0037972080342120397
conditioning post-shock maximum motion index,Fear Conditioning,168,238,7.110411447073424,0.1231744079334888,0.11264140828786412,0.10419148023932628,7.083790532119948,0.07678009221477981,0.08576549586238537,0.08109967239562738,0.02662091294647189,0.13921513736671476,0.8484697363800826,0.02687591090354479,0.12995820078120204,0.836290263738334,0.5932629154184402,0.5469635,0.14387842623586844,0.43823330185270154,Behaviour,conditioning post-shock maximum motion index,0.08215823656109444,0.00515796260477111,0.07204881562213866,0.09226765750005024,1.1439630959858038,0.2533162896111323,0.14488375201864437,0.00248138957816377,-0.3097400266811305,0.01027221295978339,-0.211295359950245,0.00471078373424496
conditioning shock average motion index,Fear Conditioning,168,238,6.578507404081981,0.07907560777809508,0.11748317414187054,0.06266590274270566,6.641314016495566,0.05248801373764122,0.05496245096619938,0.04812546967734731,-0.06280661241580067,0.08357821990185853,0.4529047974984526,0.0625207231728579,0.07721539305245284,0.41870038567682366,0.33754301944643195,0.2949573,0.27074972671756736,0.6968581113784427,Behaviour,conditioning shock average motion index,0.13576501057147922,0.00515796260477111,0.12565558963252343,0.145874431510435,1.890378473549674,0.05942280233636699,0.2776726788893519,0.00248138957816377,-0.7848748919538582,0.010912717531077913,-0.3030565117081081,0.001408890251132443
conditioning shock maximum motion index,Fear Conditioning,168,238,7.684212131304265,0.07941548002032295,0.05550184784469501,0.06595576497468686,7.845559300700081,0.05276376943880612,0.06618108242021187,0.0543783671892828,-0.16134716945701705,0.08958055285146405,0.07259351434805326,-0.01067923465608687,0.08390227968168462,0.8987948731013038,0.36551104793404504,0.359034,0.3076035332480655,0.5671884388235053,Behaviour,conditioning shock maximum motion index,0.01878205756988029,0.00515796260477111,0.0086726366309245,0.02889147850883608,0.261519497325706,0.7938251883351568,0.317896328271919,0.00248138957816377,-0.793017877627474,0.010928541124941463,-0.3095034715542807,0.001502165629387239
conditioning shock minimum motion index,Fear Conditioning,168,238,2.8310036340670925,0.35793152213789625,0.6692219246030268,0.3035130242500428,2.3645407021713525,0.2376720979850674,0.00297743399859194,0.25467260804239955,0.4664629318946942,0.4140572606942213,0.2607444652894318,0.6662444906045598,0.3903782373575499,0.08882524691981368,1.7290140009918429,1.758458,0.12332231604724551,0.41511568604662685,Behaviour,conditioning shock minimum motion index,-0.01598334079078943,0.00515796260477111,-0.02609276172974522,-0.00587391985183364,-0.22255044388192377,0.8239978765576916,0.1239532616429528,0.00248138957816377,-0.23530897233599019,0.01022225166462747,-0.4037607420848137,0.028170898894139276
conditioning tone % freezing time,Fear Conditioning,168,238,2.6521544400043,0.20827521299016685,-0.00686577492152418,0.17392907165586785,2.600874635242133,0.13112333466925014,-0.09265233729857178,0.13486036735400747,0.0512798047618901,0.23229012415128583,0.825417717093085,0.08578656237705423,0.21612086028014096,0.6916698330780663,0.973993347526047,0.8838882,0.0701445056491395,0.48993807279147583,Behaviour,conditioning tone freezing time,0.09797653296832295,0.00515796260477111,0.08786711202936717,0.10808595390727876,1.3642154783233684,0.17325923277447242,0.07025988934500926,0.00248138957816377,0.2515987247674157,0.010232019652118566,0.285833571453907,0.013151010820941039
conditioning tone average motion index,Fear Conditioning,168,238,4.338439390046192,0.2055953313497492,0.18055784512901144,0.16612481073662955,4.327262317406869,0.1281357731037218,-0.01863032066211796,0.11964583321529268,0.01117707263968026,0.2181662938378702,0.9591717330201976,0.1991881657909749,0.2003315091329869,0.32080886502114236,0.9109603120920176,0.7319176,0.0991056640254016,0.6238896436877422,Behaviour,conditioning tone average motion index,0.2197340352359528,0.00515796260477111,0.20962461429699705,0.2298434561749086,3.0595548025796835,0.00236442520887747,0.09943205941439565,0.00248138957816377,-0.46700912483151097,0.010422654632871403,-0.3722767203046615,0.006075921983212097
conditioning tone freeze count,Fear Conditioning,291,333,1.1864827505388904,0.1910845253015104,-0.0715428090312747,0.09007407509990864,1.2018581010525669,0.18520174909810905,-0.0636801909596874,0.087641502579929,-0.01537535051515834,0.12706197263999514,0.9037329215961908,-0.00786261806409609,0.124225728139607,0.94955775362011,0.6804015136204801,0.7035057352,0.07683747440971264,0.4772825248247371,Behaviour,conditioning tone freeze count,-0.03317198418309362,0.00325126262626262,-0.03954434183484948,-0.02679962653133777,-0.5817620984552548,0.5609377154739836,0.0769892284316848,0.00161030595813204,0.21281583089683268,0.0064757196469891745,0.1814335380337108,0.004704689849419167
conditioning tone freezing time,Fear Conditioning,291,333,1.1182330683561683,0.2264972058977597,-0.12258823955105252,0.1555423001510127,1.1305937618290558,0.2090955158935865,-0.1159762309303604,0.1489973014991582,-0.01236069349936031,0.21799658159046104,0.9548051156384416,-0.00661200861824163,0.21247031408618533,0.9751861495213318,1.1543607679500592,1.163904222,0.0866773999459355,0.46966054297809856,Behaviour,conditioning tone freezing time,-0.00801235971987678,0.00325126262626262,-0.01438471737163263,-0.00164000206812092,-0.14051879376541895,0.8882955970059696,0.08689545200769697,0.00161030595813204,0.22771874503801906,0.006480980263144127,0.24121282233208285,0.007258847189345335
conditioning tone maximum motion index,Fear Conditioning,168,238,6.459345546886777,0.12727247772479233,0.12657001753761846,0.1040948324273962,6.490428902356533,0.08297761791034022,-0.06920599717411337,0.08208999247603514,-0.03108335547023888,0.13971556594409762,0.8240810102622302,0.19577601471198813,0.1298560700807994,0.1326037721184946,0.5705883587820711,0.523373,0.11204958225914118,0.5730043122763699,Behaviour,conditioning tone maximum motion index,0.08727627733305342,0.00515796260477111,0.07716685639409762,0.0973856982720092,1.2152261855059638,0.22498953693810345,0.11252207831157753,0.00248138957816377,-0.43178165257234336,0.01038366186541107,-0.2399073346681772,0.0030835574706420286
context % freezing time,Fear Conditioning,168,238,3.672794962139,0.09270978303558522,-0.11887211538270258,0.07701293210683068,3.754187835091927,0.06259419818475863,0.01372145457475743,0.06479799687037797,-0.08139287420394409,0.10521262584055016,0.4397190095020051,-0.13259357117851267,0.0988039585458302,0.1805229957811643,0.4262883278753867,0.4303336,0.08231290863533525,0.49888174469969576,Behaviour,context % freezing time,-0.00854213507266463,0.00515796260477111,-0.01865155601162042,0.00156728586629115,-0.11893983723455152,0.9053821380814272,0.08249956941748879,0.00248138957816377,0.10065628352855033,0.010166539072203775,0.03978981835122461,0.0016002449266747981
context average motion index,Fear Conditioning,168,238,3.613245900490308,0.166123213841615,0.19715784412372547,0.13385349592895288,3.4325414940137233,0.11907926882868952,-0.00541024971940726,0.11840904631467213,0.18070440647682223,0.18570267625060788,0.33122400094033555,0.20256809384354957,0.17494356329066257,0.24773998902127797,0.7176000878101743,0.7674251,0.06852763869267894,0.5846226978258974,Behaviour,context average motion index,-0.06622580855575495,0.00515796260477111,-0.07633522949471075,-0.05611638761679916,-0.9221215566532768,0.3570155192124278,0.06863521140333871,0.00248138957816377,-0.12855669179132462,0.010174414854950757,-0.10477697158369058,0.006697583047315433
context freeze count,Fear Conditioning,291,333,3.4475235716136683,0.22343762180325263,-0.12188053005861012,0.06522600458818181,3.6401049399079426,0.22041803696179396,-0.10809209862355136,0.06103058282183178,-0.19258136829708516,0.090424976881364,0.03366690165562478,-0.01378843143613904,0.08861112963671056,0.8764044952591268,0.5117613708375275,0.5093700123,0.09313942697911258,0.5561544526560744,Behaviour,context freeze count,0.00490471126342155,0.00325126262626262,-0.00146764638833429,0.01127706891517741,0.08601761960261323,0.9314800918663212,0.09341016427515818,0.00161030595813204,-0.12027123982320723,0.006451019801835571,-0.04685301081099585,9.814456730631973e-4
context freezing time,Fear Conditioning,291,333,4.11794545915094,0.6446314330279079,-0.15183579710666467,0.08489664930994337,4.280490680601951,0.6428553354121757,-0.06063565436034535,0.07992792850042035,-0.16254522145949357,0.11807181939169492,0.16921433954631243,-0.09120014274953868,0.1153784746622004,0.4296327468960002,0.650049744877654,0.6477469016,0.05056525559234324,0.822011465563638,Behaviour,context freezing time,0.00376981403445449,0.00325126262626262,-0.00260254361730136,0.010142171686210351,0.06611407118022403,0.9473082524062442,0.05060841766850655,0.00161030595813204,-0.1540008462119138,0.00645843253381103,-0.09412876285252966,0.002462321708557298
context maximum motion index,Fear Conditioning,168,238,6.777442735419221,0.08780679501917552,0.16983201789411936,0.07119273065727712,6.64075751453537,0.06614593164594519,-0.03281018097441744,0.067625158584234693,0.13668521971510797,0.10111530172365062,0.1773728388119971,0.2026421976145371,0.09624560191472348,0.0360057538103609,0.3812653713380207,0.4496842,0.10727335709281637,0.5536004909405812,Behaviour,context maximum motion index,-0.16414726979693775,0.00515796260477111,-0.17425669073589353,-0.15403784885798197,-2.285570221737735,0.02279665354582105,0.10768770710980888,0.00248138957816377,-0.18890252473292404,0.010198007639244036,-0.09765038365442986,0.002342300175749235
cue baseline % freezing time,Fear Conditioning,168,238,1.988903977125224,0.20695013794200345,-0.3515990355014625,0.16512375618271957,2.758754921652383,0.14987152498513628,-0.3168468683319913,0.14682983775158065,-0.7698509445272522,0.22945139627375769,8.855449539650561e-4,-0.03475216716949659,0.2161583462008659,0.8723715072849572,0.8787548380753016,0.9444639,0.15925195592554722,0.6219507647327596,Behaviour,cue baseline % freezing time,-0.07120887273111301,0.00515796260477111,-0.08131829367006879,-0.06109945179215722,-0.9915052454974208,0.32203239499784875,0.16061909314585862,0.00248138957816377,-0.16200746361603677,0.010186384799855895,-0.14865018099520688,0.008585170150694873
cue baseline average motion index,Fear Conditioning,168,238,4.860336422520899,0.12359944902714322,0.23825540426680297,0.09599878265291724,4.354063460456118,0.09941627237342889,0.21234623055263663,0.09755020664512123,0.506272962073746,0.1396442872086364,3.339976627148832e-4,0.0259091737258357,0.13389220392666135,0.8466804185627269,0.4960039733353369,0.6381056,0.16360887806324945,0.6282879234966737,Behaviour,cue baseline average motion index,-0.25101720598429783,0.00515796260477111,-0.2611266269232536,-0.24090778504534205,-3.49513855363692,5.263003619577766e-4,0.16509260176597643,0.00248138957816377,0.03966310022119542,0.010155999015683303,0.027001250190492532,0.004606290593471179
cue baseline freeze count,Fear Conditioning,291,333,2.1921002711058235,0.4330089879675328,-0.27724426180906486,0.09358553112349371,2.755868676021534,0.4313170340650381,-0.17031811630807608,0.09621671183292456,-0.5637684049164179,0.12405396363261184,6.867100734988534e-6,-0.1069261455004404,0.12030392409639871,0.3745254405347517,0.6001634345359464,0.65541457,0.14121029728392798,0.7781576849057937,Behaviour,cue baseline freeze count,-0.08784499810273973,0.00325126262626262,-0.09421735575449558,-0.08147264045098387,-1.5406039672807323,0.12392176305072256,0.14216028344480944,0.00161030595813204,-0.0622373255568997,0.006442532873601487,-0.040794721669013316,0.0027423395373461284
cue baseline freezing time,Fear Conditioning,291,333,2.4155380987720743,0.2585257431971896,-0.3717699822184734,0.10839499011611164,3.150465095434698,0.25453107999340463,-0.2692391995458828,0.11490705410867966,-0.7349269965999959,0.15909501692798036,4.867858155135571e-6,-0.10253078269543522,0.15513623949362973,0.5089668449756074,0.7603858576013702,0.858326629,0.16914687557246696,0.656848758112679,Behaviour,cue baseline freezing time,-0.12093774211865524,0.00325126262626262,-0.1273100997704111,-0.1145653844668994,-2.120976371176716,0.03431877971190866,0.17078828099196378,0.00161030595813204,-0.17591078267367155,0.006464224475178721,-0.14252653027525938,0.004145791272902745
cue baseline maximum motion index,Fear Conditioning,168,238,7.234344255245079,0.07651192601012442,0.10421970005065744,0.0636010433614218,7.08042591065426,0.05516324465656794,0.0420783279769296,0.05799748828148293,0.15391834304277993,0.08909018161141619,0.0849831626526778,0.06214137051403469,0.08456826908031806,0.46297877990526104,0.35053622961161396,0.3935991,0.0877403716071808,0.47272050723373593,Behaviour,cue baseline maximum motion index,-0.11496616849046062,0.00515796260477111,-0.1250755894294164,-0.10485674755150484,-1.6007774697327428,0.11020784846956656,0.08796657004302535,0.00248138957816377,-0.010603120603533365,0.010154200080519973,-0.004495897524335329,0.001797339737498566
cue tone % freezing time,Fear Conditioning,168,238,3.1168025300391737,0.15148953705448964,-0.35428021541397675,0.12463911926011036,3.599884081341731,0.09513145422901068,-0.09123982674559548,0.09414147795138202,-0.4830815499395278,0.1654431907957318,0.00374198449231,-0.2630403880261464,0.15307739386379438,0.08667091327155012,0.6892141501310157,0.5973727,0.14960547657296405,0.5705014450067206,Behaviour,cue tone % freezing time,0.14391347242638916,0.00515796260477111,0.13380405148743338,0.15402289336534494,2.00383684414327,0.045754737718811,0.1507368558186317,0.00248138957816377,0.10177584408746924,0.010166818179378574,0.05667720385834919,0.0032322742899064966
dark side distance travelled,Light-Dark Test,111,84,8.11530135440201,0.0753531463996964,0.00643784012180573,0.08229422452034922,8.012425786311736,0.07449477966693871,0.09357161052169956,0.06308341763531299,0.10287556809025834,0.10248153903443774,0.3169980456130965,-0.08713377040020584,0.1018221652920312,0.39344316305467375,0.3355864,0.24434813298415511,0.09299209260446024,0.42305233773578127,Behaviour,distance travelled,0.3157422565187462,0.01080246913580246,0.29456980606846783,0.3369147069690246,3.03788403365153,0.00271215981039252,0.09326154265333898,0.00520833333333333,0.16410834595468263,0.020982826168160607,0.04555225478733657,0.0015213266131730995
dark side time spent,Light-Dark Test,1844,1791,6.614314090532017,0.20568406874908784,0.05412081656647844,0.03802997924035916,6.456078487651616,0.20616478649879152,0.05110786144487008,0.0382597456741284,0.1582356028816297,0.01998752897050202,3.306013142150644e-15,0.00301295507453071,0.01962231222743611,0.8779760343364958,0.34546697,0.4998885845561992,0.10143816665498775,0.6537126573277523,Behaviour,time spent,-0.36949625517709367,5.512335845099261e-4,-0.3705766531498021,-0.3684158572043853,-15.737734211975,0,0.10178825340682902,2.7533039647577095e-4,0.48373263555627316,0.0011328333348880814,0.10404624200516567,5.195349391029426e-5
dark sleep bout lengths mean,Sleep Wake,864,842,5.29229762520624,0.01333629449288341,0.04736089851374032,0.01304851278234048,5.509292914076078,0.0139672441867008,0.0972971580336181,0.01283911426767828,-0.21699528886976557,0.01834543169178071,5.831279525986748e-31,-0.0499362595197342,0.01738607482629567,0.00413208940014504,0.2158973,0.24659964667519663,0.5793366650783492,0.6223103771238656,Behaviour,dark sleep bout lengths mean,-0.13297855375498044,0.00117666764953023,-0.1352847799698331,-0.13067232754012778,-3.876633091458403,1.0993013568727504e-4,0.6614636856953827,5.871990604815032e-4,-1.300305961901658,0.002840599707121213,-0.33586972917320185,1.4398729471626391e-4
dark sleep bout lengths standard deviation,Sleep Wake,864,842,5.644536414580082,0.01741385540966513,0.02210676685399277,0.0165579076335693,5.8472614068132405,0.01601805649337048,0.01411770521584199,0.01402706555650664,-0.2027249922341876,0.02166464428616939,2.7869231797361413e-20,0.00798906163699903,0.02021186012774072,0.6927013124215988,0.27048497,0.25877100798363684,0.37870368687172823,0.4972530959074366,Behaviour,dark sleep bout lengths standard deviation,0.04425777394956627,0.00117666764953023,0.04195154773471362,0.04656400016441892,1.2902167018848965,0.19715048247789624,0.3985454282060358,5.871990604815032e-4,-0.7865409611414991,0.002526370835197531,-0.22627863070606144,1.9335854120932857e-4
data confidence level,Sleep Wake,864,842,-0.01689456727388701,0.00303803749799046,0.00607587362486504,0.00292886095073671,-0.00797777790275544,0.00192651791766855,0.00351077006202875,0.00153438841662677,-0.00891678937111788,0.00325025667206556,0.0061509661878038,0.0025651035628575,0.003115149813415,0.41039177870938537,0.04992531,0.02588862270267734,0.1984623084999198,0.4414541264078573,Behaviour,data confidence level,0.6567092668270823,0.00117666764953023,0.6544030406122296,0.659015493041935,19.144597405834737,0,0.20113130367025495,5.871990604815032e-4,-0.3992302164253066,0.0023917688663093726,-0.015327666943373302,3.4341440000730327e-6
distance travelled - total,Open Field,8942,8881,8.904351585896464,0.21836238349929615,0.00860959292527879,0.0184437460343788,8.81020051013567,0.21836187048552716,0.00301670310789175,0.01825329223777112,0.09415107595681882,0.00560398344934784,8.617590344087714e-63,0.00559288993339212,0.0050663328869993,0.26963946063888206,0.20551664599824357,0.19620265,0.05434976418784976,0.9672063629194108,Behaviour,distance travelled - total,0.04637859509191563,1.1225365907110245e-4,0.04615858196300343,0.04659860822082783,4.3774111076205,1.2078076441435217e-5,0.05440337376699859,5.611672278338945e-5,0.08666176429923006,2.2464242756391659e-4,0.07876678666538352,1.8492914977737889e-4
